"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database"
"ko01110","ko01110","19/48","355/4337",0.0535211267605634,4.83585680751174,7.97835152981453,1.76576599231636e-09,4.81569905287712e-07,4.81569905287712e-07,"LOC126298104/LOC126354610/LOC126355485/LOC126275659/LOC126335010/LOC126281265/LOC126293737/LOC126352958/LOC126325353/LOC126354813/LOC126278953/LOC126299365/LOC126285116/LOC126266840/LOC126324953/LOC126278052/LOC126299364/LOC126297583/LOC126266788",19,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko01130","ko01130","15/48","210/4337",0.0714285714285714,6.45386904761905,8.5700696437504,3.03829593241459e-09,4.81569905287712e-07,4.81569905287712e-07,"LOC126298104/LOC126354610/LOC126281265/LOC126293737/LOC126352958/LOC126325353/LOC126299365/LOC126266840/LOC126293368/LOC126324953/LOC126278052/LOC126299364/LOC126297583/LOC126295405/LOC126266788",15,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko00230","ko00230","10/48","141/4337",0.0709219858156028,6.40809692671395,6.90595136561655,2.1795065735783e-06,0.000230301194608107,0.000230301194608107,"LOC126354610/LOC126272511/LOC126281265/LOC126293737/LOC126354813/LOC126278953/LOC126299365/LOC126324953/LOC126299364/LOC126266788",10,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko00670","ko00670","4/48","15/4337",0.266666666666667,24.0944444444444,9.47759180639989,1.6494825972425e-05,0.00130721495831468,0.00130721495831468,"LOC126354610/LOC126293737/LOC126325353/LOC126266788",4,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko00260","ko00260","5/48","37/4337",0.135135135135135,12.2100225225225,7.24369826791757,4.48590099073352e-05,0.00284406122812505,0.00284406122812505,"LOC126335010/LOC126325353/LOC126266840/LOC126293368/LOC126295405",5,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko01120","ko01120","8/48","158/4337",0.0506329113924051,4.57489451476793,4.84220109670132,0.000283142571084136,0.0149593658389452,0.0149593658389452,"LOC126272511/LOC126325353/LOC126278953/LOC126266840/LOC126293368/LOC126278052/LOC126297583/LOC126295405",8,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko01523","ko01523","4/48","34/4337",0.117647058823529,10.6299019607843,5.96297355807344,0.000480192086603821,0.0217458416362016,0.0217458416362016,"LOC126354610/LOC126293737/LOC126325353/LOC126266788",4,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko00053","ko00053","5/48","65/4337",0.0769230769230769,6.95032051282051,5.11291588720356,0.000674039284682317,0.0267088066555368,0.0267088066555368,"LOC126277896/LOC126277895/LOC126266840/LOC126277897/LOC126277892",5,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko01230","ko01230","5/48","67/4337",0.0746268656716418,6.74284825870647,5.01115732250818,0.000775163623709819,0.0273029854128903,0.0273029854128903,"LOC126298104/LOC126325353/LOC126269845/LOC126293368/LOC126295405",5,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko00680","ko00680","3/48","22/4337",0.136363636363636,12.3210227272727,5.63110771659468,0.00169060841683319,0.053592286813612,0.053592286813612,"LOC126325353/LOC126293368/LOC126295405",3,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko00562","ko00562","4/48","52/4337",0.0769230769230769,6.95032051282051,4.5661886538037,0.00242267374119907,0.0698170523600095,0.0698170523600095,"LOC126277896/LOC126277895/LOC126277897/LOC126277892",4,"all_diet_pairwise_results__DOWN","KEGG_pathway"
"ko01110","ko01110","7/13","355/4337",0.0197183098591549,6.5783315276273,6.01369420228256,2.58546698462277e-05,0.00819593034125419,0.00819593034125419,"LOC126278485/LOC126335010/LOC126336625/LOC126282179/LOC126285378/LOC126336627/LOC126298221",7,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko00982","ko00982","4/13","102/4337",0.0392156862745098,13.0829562594268,6.7704892389659,0.000175188272909823,0.0277673412562069,0.0277673412562069,"LOC126335010/LOC126336625/LOC126282179/LOC126336627",4,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko00830","ko00830","3/13","52/4337",0.0576923076923077,19.2470414201183,7.25758593431338,0.00042729134530501,0.035832289869773,0.035832289869773,"LOC126336625/LOC126282179/LOC126336627",3,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko00140","ko00140","3/13","53/4337",0.0566037735849057,18.8838896952104,7.18205384121514,0.000452142458924581,0.035832289869773,0.035832289869773,"LOC126336625/LOC126282179/LOC126336627",3,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko00053","ko00053","3/13","65/4337",0.0461538461538462,15.3976331360947,6.41217888649066,0.000825657546489018,0.0476755305027819,0.0476755305027819,"LOC126336625/LOC126282179/LOC126336627",3,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko00860","ko00860","3/13","67/4337",0.0447761194029851,14.9380022962113,6.30372800529202,0.000902375971661488,0.0476755305027819,0.0476755305027819,"LOC126336625/LOC126282179/LOC126336627",3,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko00040","ko00040","3/13","75/4337",0.04,13.3446153846154,5.9125515825534,0.00125437321413884,0.0568051869831445,0.0568051869831446,"LOC126336625/LOC126282179/LOC126336627",3,"all_diet_pairwise_results__UP","KEGG_pathway"
"ko01110","ko01110","54/252","355/4337",0.152112676056338,2.61790744466801,7.90070959468718,9.47697622278743e-12,3.00420146262362e-09,3.00420146262362e-09,"LOC126356100/LOC126272928/LOC126272037/LOC126284812/LOC126271720/LOC126278485/LOC126293404/LOC126323251/LOC126365941/LOC126297871/LOC126350022/LOC126341237/LOC126329483/LOC126336625/LOC126349195/LOC126354727/LOC126336244/LOC126298779/LOC126278697/LOC126325353/LOC126298865/LOC126268218/LOC126268126/LOC126285378/LOC126284811/LOC126299493/LOC126353877/LOC126272193/LOC126297494/LOC126281532/LOC126284898/LOC126335505/LOC126293737/LOC126334891/LOC126272831/LOC126298417/LOC126281958/LOC126266840/LOC126299542/LOC126272584/LOC126266939/LOC126284002/LOC126281562/LOC126298104/LOC126335184/LOC126282157/LOC126272926/LOC126281954/LOC126336251/LOC126298221/LOC126324953/LOC126281446/LOC126335182/LOC126284686",54,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko01130","ko01130","38/252","210/4337",0.180952380952381,3.11424792139078,7.80004668308057,1.08389303799349e-10,1.71797046521968e-08,1.71797046521968e-08,"LOC126267248/LOC126272037/LOC126284812/LOC126278485/LOC126293404/LOC126293368/LOC126365941/LOC126297871/LOC126350022/LOC126291591/LOC126329483/LOC126349195/LOC126336244/LOC126278697/LOC126325353/LOC126298865/LOC126299078/LOC126295405/LOC126268218/LOC126284811/LOC126272193/LOC126297494/LOC126281532/LOC126284898/LOC126335505/LOC126293737/LOC126298417/LOC126281958/LOC126266840/LOC126299542/LOC126297759/LOC126298104/LOC126282157/LOC126281954/LOC126336251/LOC126298221/LOC126324953/LOC126281446",38,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko01120","ko01120","31/252","158/4337",0.19620253164557,3.37670785613824,7.55817662052155,8.55342434743481e-10,9.03811839378945e-08,9.03811839378945e-08,"LOC126355949/LOC126266828/LOC126272037/LOC126293368/LOC126323251/LOC126365941/LOC126297871/LOC126350022/LOC126349195/LOC126336244/LOC126325353/LOC126295405/LOC126355885/LOC126268126/LOC126297494/LOC126281532/LOC126272888/LOC126336122/LOC126284898/LOC126335505/LOC126334891/LOC126298417/LOC126281958/LOC126336866/LOC126266840/LOC126299542/LOC126297759/LOC126282157/LOC126281954/LOC126336251/LOC126281446",31,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko01200","ko01200","23/252","109/4337",0.211009174311927,3.63153487694772,6.9104092283286,3.59302143372086e-08,2.84746948622378e-06,2.84746948622378e-06,"LOC126272037/LOC126293404/LOC126293368/LOC126365941/LOC126297871/LOC126349195/LOC126336244/LOC126335256/LOC126325353/LOC126295405/LOC126297494/LOC126281532/LOC126336122/LOC126284898/LOC126335505/LOC126298417/LOC126281958/LOC126336866/LOC126299542/LOC126282157/LOC126281954/LOC126336251/LOC126298221",23,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00620","ko00620","10/252","33/4337",0.303030303030303,5.21524771524772,6.03660580474982,1.03471634852274e-05,0.000656010164963418,0.000656010164963418,"LOC126323251/LOC126297871/LOC126350022/LOC126336244/LOC126285378/LOC126336122/LOC126336866/LOC126266840/LOC126282157/LOC126281446",10,"all_infection_within_diet_results__DOWN","KEGG_pathway"
