"source","source_label","direction","Direction","Gene_class","n_genes","signed_n","DEG_class"
"DESeq2_infected_vs_control_diet_33","DESeq2 infected vs control diet 33","DOWN","Higher in denominator/control","Coding genes",423,-423,"Higher in denominator/control - Coding genes"
"DESeq2_infected_vs_control_diet_33","DESeq2 infected vs control diet 33","DOWN","Higher in denominator/control","Long non-coding RNA",18,-18,"Higher in denominator/control - Long non-coding RNA"
"DESeq2_infected_vs_control_diet_33","DESeq2 infected vs control diet 33","UP","Higher in numerator/infected","Coding genes",432,432,"Higher in numerator/infected - Coding genes"
"DESeq2_infected_vs_control_diet_33","DESeq2 infected vs control diet 33","UP","Higher in numerator/infected","Long non-coding RNA",25,25,"Higher in numerator/infected - Long non-coding RNA"
"DESeq2_infected_vs_control_diet_50","DESeq2 infected vs control diet 50","DOWN","Higher in denominator/control","Coding genes",503,-503,"Higher in denominator/control - Coding genes"
"DESeq2_infected_vs_control_diet_50","DESeq2 infected vs control diet 50","DOWN","Higher in denominator/control","Long non-coding RNA",15,-15,"Higher in denominator/control - Long non-coding RNA"
"DESeq2_infected_vs_control_diet_50","DESeq2 infected vs control diet 50","UP","Higher in numerator/infected","Coding genes",731,731,"Higher in numerator/infected - Coding genes"
"DESeq2_infected_vs_control_diet_50","DESeq2 infected vs control diet 50","UP","Higher in numerator/infected","Long non-coding RNA",59,59,"Higher in numerator/infected - Long non-coding RNA"
"DESeq2_infected_vs_control_diet_50","DESeq2 infected vs control diet 50","UP","Higher in numerator/infected","Other non-coding",4,4,"Higher in numerator/infected - Other non-coding"
"DESeq2_infected_vs_control_diet_83","DESeq2 infected vs control diet 83","DOWN","Higher in denominator/control","Coding genes",170,-170,"Higher in denominator/control - Coding genes"
"DESeq2_infected_vs_control_diet_83","DESeq2 infected vs control diet 83","DOWN","Higher in denominator/control","Long non-coding RNA",7,-7,"Higher in denominator/control - Long non-coding RNA"
"DESeq2_infected_vs_control_diet_83","DESeq2 infected vs control diet 83","UP","Higher in numerator/infected","Coding genes",320,320,"Higher in numerator/infected - Coding genes"
"DESeq2_infected_vs_control_diet_83","DESeq2 infected vs control diet 83","UP","Higher in numerator/infected","Long non-coding RNA",20,20,"Higher in numerator/infected - Long non-coding RNA"
"DESeq2_infected_vs_control_diet_83","DESeq2 infected vs control diet 83","UP","Higher in numerator/infected","Other non-coding",2,2,"Higher in numerator/infected - Other non-coding"
"all_diet_pairwise_results","all diet pairwise results","DOWN","Higher in denominator/control","Coding genes",99,-99,"Higher in denominator/control - Coding genes"
"all_diet_pairwise_results","all diet pairwise results","DOWN","Higher in denominator/control","Long non-coding RNA",4,-4,"Higher in denominator/control - Long non-coding RNA"
"all_diet_pairwise_results","all diet pairwise results","UP","Higher in numerator/infected","Coding genes",33,33,"Higher in numerator/infected - Coding genes"
"all_diet_pairwise_results","all diet pairwise results","UP","Higher in numerator/infected","Long non-coding RNA",1,1,"Higher in numerator/infected - Long non-coding RNA"
"all_infection_within_diet_results","all infection within diet results","DOWN","Higher in denominator/control","Coding genes",797,-797,"Higher in denominator/control - Coding genes"
"all_infection_within_diet_results","all infection within diet results","DOWN","Higher in denominator/control","Long non-coding RNA",28,-28,"Higher in denominator/control - Long non-coding RNA"
"all_infection_within_diet_results","all infection within diet results","UP","Higher in numerator/infected","Coding genes",834,834,"Higher in numerator/infected - Coding genes"
"all_infection_within_diet_results","all infection within diet results","UP","Higher in numerator/infected","Long non-coding RNA",68,68,"Higher in numerator/infected - Long non-coding RNA"
"all_infection_within_diet_results","all infection within diet results","UP","Higher in numerator/infected","Other non-coding",4,4,"Higher in numerator/infected - Other non-coding"
"all_model_coefficients","all model coefficients","DOWN","Higher in denominator/control","Coding genes",384,-384,"Higher in denominator/control - Coding genes"
"all_model_coefficients","all model coefficients","DOWN","Higher in denominator/control","Long non-coding RNA",13,-13,"Higher in denominator/control - Long non-coding RNA"
"all_model_coefficients","all model coefficients","UP","Higher in numerator/infected","Coding genes",684,684,"Higher in numerator/infected - Coding genes"
"all_model_coefficients","all model coefficients","UP","Higher in numerator/infected","Long non-coding RNA",60,60,"Higher in numerator/infected - Long non-coding RNA"
"all_model_coefficients","all model coefficients","UP","Higher in numerator/infected","Other non-coding",2,2,"Higher in numerator/infected - Other non-coding"
"interaction_coefficients","interaction coefficients","DOWN","Higher in denominator/control","Coding genes",64,-64,"Higher in denominator/control - Coding genes"
"interaction_coefficients","interaction coefficients","DOWN","Higher in denominator/control","Long non-coding RNA",1,-1,"Higher in denominator/control - Long non-coding RNA"
"interaction_coefficients","interaction coefficients","UP","Higher in numerator/infected","Coding genes",2,2,"Higher in numerator/infected - Coding genes"
