"database","ID","Description","set","n_sets"
"GO","GO:1901605","alpha-amino acid metabolic process","all_diet_pairwise_results__DOWN",7
"GO","GO:0019752","carboxylic acid metabolic process","all_diet_pairwise_results__DOWN",8
"GO","GO:0006520","amino acid metabolic process","all_diet_pairwise_results__DOWN",5
"GO","GO:0006836","neurotransmitter transport","all_diet_pairwise_results__DOWN",2
"GO","GO:0006082","organic acid metabolic process","all_diet_pairwise_results__DOWN",8
"GO","GO:0043436","oxoacid metabolic process","all_diet_pairwise_results__DOWN",8
"GO","GO:0001505","GO:0001505","all_diet_pairwise_results__DOWN",2
"GO","GO:0055114","GO:0055114","all_infection_within_diet_results__DOWN",3
"GO","GO:0016491","oxidoreductase activity","all_infection_within_diet_results__DOWN",4
"GO","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","all_infection_within_diet_results__DOWN",4
"GO","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","all_infection_within_diet_results__DOWN",4
"GO","GO:0005576","extracellular region","all_infection_within_diet_results__DOWN",7
"GO","GO:0019752","carboxylic acid metabolic process","all_infection_within_diet_results__DOWN",8
"GO","GO:0006082","organic acid metabolic process","all_infection_within_diet_results__DOWN",8
"GO","GO:0043436","oxoacid metabolic process","all_infection_within_diet_results__DOWN",8
"GO","GO:0004497","monooxygenase activity","all_infection_within_diet_results__DOWN",2
"GO","GO:0044421","GO:0044421","all_infection_within_diet_results__DOWN",6
"GO","GO:0044283","small molecule biosynthetic process","all_infection_within_diet_results__DOWN",4
"GO","GO:0005576","extracellular region","all_infection_within_diet_results__UP",7
"GO","GO:0005615","extracellular space","all_infection_within_diet_results__UP",5
"GO","GO:0009617","response to bacterium","all_infection_within_diet_results__UP",5
"GO","GO:0044421","GO:0044421","all_infection_within_diet_results__UP",6
"GO","GO:0097367","carbohydrate derivative binding","all_infection_within_diet_results__UP",5
"GO","GO:0005539","glycosaminoglycan binding","all_infection_within_diet_results__UP",5
"GO","GO:0006022","aminoglycan metabolic process","all_infection_within_diet_results__UP",5
"GO","GO:0006026","aminoglycan catabolic process","all_infection_within_diet_results__UP",4
"GO","GO:0009607","response to biotic stimulus","all_infection_within_diet_results__UP",5
"GO","GO:0043207","response to external biotic stimulus","all_infection_within_diet_results__UP",5
