"label","total_counts","files","Sex","Treatment","Diet","Hour_Group_Post_Innoculation","Var.8"
"1002",3619696,"mehreen_1002_MERGE_counts.txt","Female","Control","83",96,NA
"1003",3959991,"mehreen_1003_MERGE_counts.txt","Female","Control","33",96,NA
"1004",4892606,"mehreen_1004_MERGE_counts.txt","Female","Control","50",96,NA
"1005",3987968,"mehreen_1005_MERGE_counts.txt","Female","Control","83",96,NA
"1006",4055006,"mehreen_1006_MERGE_counts.txt","Female","Control","33",96,NA
"1007",4420108,"mehreen_1007_MERGE_counts.txt","Female","Control","50",96,NA
"1009",3938506,"mehreen_1009_MERGE_counts.txt","Female","Control","33",96,NA
"1011",2947351,"mehreen_1011_MERGE_counts.txt","Female","Control","83",96,NA
"1014",2348090,"mehreen_1014_MERGE_counts.txt","Female","Infected","83",96,NA
"1015",2712667,"mehreen_1015_MERGE_counts.txt","Female","Infected","33",96,NA
"1016",2137727,"mehreen_1016_MERGE_counts.txt","Female","Infected","50",96,NA
"1018",8167578,"mehreen_1018_MERGE_counts.txt","Female","Infected","33",96,NA
"1020",4694903,"mehreen_1020_MERGE_counts.txt","Female","Infected","83",96,NA
"1021",5676234,"mehreen_1021_MERGE_counts.txt","Female","Infected","33",96,NA
"1023",1896233,"mehreen_1023_MERGE_counts.txt","Female","Infected","83",96,NA
"1024",2960211,"mehreen_1024_MERGE_counts.txt","Female","Infected","83",96,NA
"1025",5436525,"mehreen_1025_MERGE_counts.txt","Female","Infected","50",96,NA
"1027",2664344,"mehreen_1027_MERGE_counts.txt","Female","Infected","33",96,NA
"1028",4534023,"mehreen_1028_MERGE_counts.txt","Female","Infected","50",96,NA
"1029",4763663,"mehreen_1029_MERGE_counts.txt","Female","Infected","83",96,NA
"1030",9487370,"mehreen_1030_MERGE_counts.txt","Female","Control","33",96,NA
"1031",5534103,"mehreen_1031_MERGE_counts.txt","Female","Control","50",96,NA
"1032",5248437,"mehreen_1032_MERGE_counts.txt","Female","Control","83",96,NA
"1033",8112863,"mehreen_1033_MERGE_counts.txt","Female","Control","33",96,NA
"1034",6169956,"mehreen_1034_MERGE_counts.txt","Female","Control","50",96,NA
"1035",6222448,"mehreen_1035_MERGE_counts.txt","Female","Control","83",96,NA
"1036",6246544,"mehreen_1036_MERGE_counts.txt","Female","Control","33",96,NA
"1037",7525807,"mehreen_1037_MERGE_counts.txt","Female","Control","50",96,NA
"1038",5354704,"mehreen_1038_MERGE_counts.txt","Female","Control","83",96,NA
"1039",5784303,"mehreen_1039_MERGE_counts.txt","Female","Control","33",96,NA
"1040",3796367,"mehreen_1040_MERGE_counts.txt","Female","Control","50",96,NA
"1041",3134482,"mehreen_1041_MERGE_counts.txt","Female","Control","83",96,NA
"1042",3870392,"mehreen_1042_MERGE_counts.txt","Female","Infected","33",96,NA
"1043",4346202,"mehreen_1043_MERGE_counts.txt","Female","Infected","50",96,NA
"1045",4125462,"mehreen_1045_MERGE_counts.txt","Female","Infected","33",96,NA
"1046",3991118,"mehreen_1046_MERGE_counts.txt","Female","Infected","50",96,NA
"1049",4386447,"mehreen_1049_MERGE_counts.txt","Female","Infected","50",96,NA
"1050",4014396,"mehreen_1050_MERGE_counts.txt","Female","Infected","83",96,NA
"1051",3857925,"mehreen_1051_MERGE_counts.txt","Female","Infected","33",96,NA
"1052",3341685,"mehreen_1052_MERGE_counts.txt","Female","Infected","50",96,NA
"1054",3927653,"mehreen_1054_MERGE_counts.txt","Female","Infected","33",96,NA
"1055",4271527,"mehreen_1055_MERGE_counts.txt","Female","Infected","50",96,NA
"1057",4530398,"mehreen_1057_MERGE_counts.txt","Female","Infected","33",96,NA
"1058",2451541,"mehreen_1058_MERGE_counts.txt","Female","Infected","50",96,NA
