Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC126460300	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC126460300	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC126460300	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126459988	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460004	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460020	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC126460020	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC126460020	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460020	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC126460036	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC126460036	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC126460036	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460036	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC126460052	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460068	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460149	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC126460149	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC126460149	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460149	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC126460397	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460165	LOW QUALITY PROTEIN: molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC126460165	LOW QUALITY PROTEIN: molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC126460165	LOW QUALITY PROTEIN: molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126456911	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460181	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC126460181	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC126460181	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC126460181	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC126460440	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0004672 protein kinase activity
LOC126460440	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005515 protein binding
LOC126460440	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005524 ATP binding
LOC126460440	ovarian-specific serine/threonine-protein kinase Lok-like	P GO:0006468 protein phosphorylation
LOC126460456	AH receptor-interacting protein isoform X1	F GO:0003755 peptidyl-prolyl cis-trans isomerase activity
LOC126460492	NAD(+) hydrolase sarm1-like isoform X1	F GO:0005515 protein binding
LOC126460590	kanadaptin isoform X1	F GO:0005515 protein binding
LOC126460616	serine/threonine-protein kinase NLK isoform X1	F GO:0004672 protein kinase activity
LOC126460616	serine/threonine-protein kinase NLK isoform X1	F GO:0005524 ATP binding
LOC126460616	serine/threonine-protein kinase NLK isoform X1	P GO:0006468 protein phosphorylation
LOC126460637	zinc finger protein ZPR1 isoform X1	F GO:0008270 zinc ion binding
LOC126460699	dynein axonemal light chain 1-like	F GO:0005515 protein binding
LOC126460235	phosphatidylinositol-binding clathrin assembly protein-like	P GO:0048268 clathrin coat assembly
LOC126460235	phosphatidylinositol-binding clathrin assembly protein-like	F GO:0030276 clathrin binding
LOC126460235	phosphatidylinositol-binding clathrin assembly protein-like	C GO:0030136 clathrin-coated vesicle
LOC126460235	phosphatidylinositol-binding clathrin assembly protein-like	F GO:0005545 1-phosphatidylinositol binding
LOC126460762	carboxypeptidase E-like isoform X2	F GO:0004181 metallocarboxypeptidase activity
LOC126460762	carboxypeptidase E-like isoform X2	F GO:0008270 zinc ion binding
LOC126460762	carboxypeptidase E-like isoform X2	P GO:0006508 proteolysis
LOC126460715	NAD-dependent protein deacetylase sirtuin-1 isoform X3	F GO:0070403 NAD+ binding
LOC126460813	40S ribosomal protein S24 isoform X3	C GO:0005840 ribosome
LOC126460813	40S ribosomal protein S24 isoform X3	F GO:0003735 structural constituent of ribosome
LOC126460813	40S ribosomal protein S24 isoform X3	P GO:0006412 translation
LOC126460849	hypothetical protein PYW07_003658	F GO:0005515 protein binding
LOC126460875	putative FERM domain-containing protein FRMD8P1	C GO:0005856 cytoskeleton
LOC126460875	putative FERM domain-containing protein FRMD8P1	P GO:0009887 animal organ morphogenesis
LOC126460875	putative FERM domain-containing protein FRMD8P1	P GO:0030182 neuron differentiation
LOC126460962	5-hydroxytryptamine receptor 1A-like	C GO:0016020 membrane
LOC126460962	5-hydroxytryptamine receptor 1A-like	F GO:0004930 G protein-coupled receptor activity
LOC126460962	5-hydroxytryptamine receptor 1A-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126460994	methionine synthase reductase-like	F GO:0016491 oxidoreductase activity
LOC126461082	protein spinster	F GO:0022857 transmembrane transporter activity
LOC126461082	protein spinster	P GO:0055085 transmembrane transport
LOC126410703	solute carrier family 35 member G1-like	C GO:0016020 membrane
LOC126461114	geminin	P GO:0006275 regulation of DNA replication
LOC126437111	cytochrome P450 315a1, mitochondrial	F GO:0004497 monooxygenase activity
LOC126437111	cytochrome P450 315a1, mitochondrial	F GO:0005506 iron ion binding
LOC126437111	cytochrome P450 315a1, mitochondrial	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC126437111	cytochrome P450 315a1, mitochondrial	F GO:0020037 heme binding
LOC126461130	target of rapamycin complex subunit lst8	F GO:0005515 protein binding
LOC126461146	calcium-binding protein E63-1 isoform X2	F GO:0005509 calcium ion binding
LOC126461247	protein flightless-1	F GO:0051015 actin filament binding
LOC126461355	protein YIF1B	C GO:0005789 endoplasmic reticulum membrane
LOC126461355	protein YIF1B	P GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
LOC126461372	cystathionine beta-synthase	P GO:0006520 amino acid metabolic process
LOC126461372	cystathionine beta-synthase	P GO:0006790 sulfur compound metabolic process
LOC126461372	cystathionine beta-synthase	P GO:0009058 biosynthetic process
LOC126461398	hypothetical protein FQR65_LT13593	F GO:0003723 RNA binding
LOC126462779	uncharacterized protein LOC126462779	C GO:0016020 membrane
LOC126462779	uncharacterized protein LOC126462779	P GO:0050909 sensory perception of taste
LOC126461477	hypothetical protein MSG28_016181	F GO:0003824 catalytic activity
LOC126461477	hypothetical protein MSG28_016181	F GO:0030246 carbohydrate binding
LOC126461477	hypothetical protein MSG28_016181	P GO:0005975 carbohydrate metabolic process
LOC126461503	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126461503	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126461503	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126465924	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126465924	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126465924	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126469052	G protein-coupled receptor kinase 1	F GO:0005524 ATP binding
LOC126469052	G protein-coupled receptor kinase 1	F GO:0004703 G protein-coupled receptor kinase activity
LOC126469052	G protein-coupled receptor kinase 1	P GO:0007165 signal transduction
LOC126469052	G protein-coupled receptor kinase 1	P GO:0006468 protein phosphorylation
LOC126461571	PRKR-interacting protein 1 homolog	F GO:0003725 double-stranded RNA binding
LOC126470012	DNA polymerase theta-like	F GO:0005524 ATP binding
LOC126470012	DNA polymerase theta-like	F GO:0003677 DNA binding
LOC126470012	DNA polymerase theta-like	F GO:0003887 DNA-directed DNA polymerase activity
LOC126470012	DNA polymerase theta-like	P GO:0006261 DNA-templated DNA replication
LOC126456957	uncharacterized protein LOC126456957	F GO:0005515 protein binding
LOC126461704	mediator of RNA polymerase II transcription subunit 13 isoform X1	C GO:0016592 mediator complex
LOC126461704	mediator of RNA polymerase II transcription subunit 13 isoform X1	F GO:0003712 transcription coregulator activity
