"DEG_context","gene_id","seqid","start","end","midpoint","strand","seq_start","seq_end","chromosome","region_name","genome","chromosome_class","position_mb"
"Infection within diets","LOC126266590","NC_064923.1",120908148,120995775,120951961.5,"+",1,791150472,"4","4","chromosome","Named chromosome",120.9519615
"Infection within diets","LOC126266593","NC_064923.1",121308591,121631980,121470285.5,"-",1,791150472,"4","4","chromosome","Named chromosome",121.4702855
"Infection within diets","LOC126266596","NC_064923.1",122045496,122750702,122398099,"+",1,791150472,"4","4","chromosome","Named chromosome",122.398099
"Infection within diets","LOC126266657","NC_064923.1",420648571,420729449,420689010,"+",1,791150472,"4","4","chromosome","Named chromosome",420.68901
"Infection within diets","LOC126266672","NC_064923.1",681289472,681295715,681292593.5,"-",1,791150472,"4","4","chromosome","Named chromosome",681.2925935
"Infection within diets","LOC126266675","NC_064923.1",683189519,683191060,683190289.5,"-",1,791150472,"4","4","chromosome","Named chromosome",683.1902895
"Infection within diets","LOC126266728","NC_064923.1",247623329,247696397,247659863,"+",1,791150472,"4","4","chromosome","Named chromosome",247.659863
"Infection within diets","LOC126266748","NC_064923.1",120332954,120691085,120512019.5,"+",1,791150472,"4","4","chromosome","Named chromosome",120.5120195
"Infection within diets","LOC126266759","NC_064923.1",195483122,195664204,195573663,"-",1,791150472,"4","4","chromosome","Named chromosome",195.573663
"Infection within diets","LOC126266760","NC_064923.1",195760174,195841789,195800981.5,"-",1,791150472,"4","4","chromosome","Named chromosome",195.8009815
"Infection within diets","LOC126266822","NC_064923.1",767994402,768216099,768105250.5,"-",1,791150472,"4","4","chromosome","Named chromosome",768.1052505
"Infection within diets","LOC126266828","NC_064923.1",239539512,239591553,239565532.5,"-",1,791150472,"4","4","chromosome","Named chromosome",239.5655325
"Infection within diets","LOC126266832","NC_064923.1",373009428,373530890,373270159,"+",1,791150472,"4","4","chromosome","Named chromosome",373.270159
"Infection within diets","LOC126266835","NC_064923.1",396909663,397242833,397076248,"+",1,791150472,"4","4","chromosome","Named chromosome",397.076248
"Infection within diets","LOC126266909","NC_064923.1",514603079,514660239,514631659,"+",1,791150472,"4","4","chromosome","Named chromosome",514.631659
"Infection within diets","LOC126266913","NC_064923.1",731418688,731640079,731529383.5,"+",1,791150472,"4","4","chromosome","Named chromosome",731.5293835
"Infection within diets","LOC126266938","NC_064923.1",508056807,508068810,508062808.5,"-",1,791150472,"4","4","chromosome","Named chromosome",508.0628085
"Infection within diets","LOC126266957","NC_064923.1",125579330,126739694,126159512,"+",1,791150472,"4","4","chromosome","Named chromosome",126.159512
"Infection within diets","LOC126266982","NC_064923.1",573919543,574000827,573960185,"-",1,791150472,"4","4","chromosome","Named chromosome",573.960185
"Infection within diets","LOC126266984","NC_064923.1",142847166,143648190,143247678,"-",1,791150472,"4","4","chromosome","Named chromosome",143.247678
"Infection within diets","LOC126267038","NC_064923.1",599016633,599170381,599093507,"+",1,791150472,"4","4","chromosome","Named chromosome",599.093507
"Infection within diets","LOC126267114","NC_064923.1",308388554,308405922,308397238,"-",1,791150472,"4","4","chromosome","Named chromosome",308.397238
"Infection within diets","LOC126267154","NC_064923.1",598554127,598659212,598606669.5,"-",1,791150472,"4","4","chromosome","Named chromosome",598.6066695
"Infection within diets","LOC126267162","NC_064923.1",572460825,573015072,572737948.5,"-",1,791150472,"4","4","chromosome","Named chromosome",572.7379485
"Infection within diets","LOC126267163","NC_064923.1",573085509,573279293,573182401,"-",1,791150472,"4","4","chromosome","Named chromosome",573.182401
"Infection within diets","LOC126267179","NC_064923.1",662970807,662975093,662972950,"-",1,791150472,"4","4","chromosome","Named chromosome",662.97295
"Infection within diets","LOC126267190","NC_064923.1",623959621,624432079,624195850,"+",1,791150472,"4","4","chromosome","Named chromosome",624.19585
"Infection within diets","LOC126267215","NC_064923.1",197830279,197938593,197884436,"-",1,791150472,"4","4","chromosome","Named chromosome",197.884436
"Infection within diets","LOC126267216","NC_064923.1",198017202,198117107,198067154.5,"+",1,791150472,"4","4","chromosome","Named chromosome",198.0671545
"Infection within diets","LOC126267222","NC_064923.1",150336221,150653127,150494674,"+",1,791150472,"4","4","chromosome","Named chromosome",150.494674
"Infection within diets","LOC126267226","NC_064923.1",678386335,678594825,678490580,"+",1,791150472,"4","4","chromosome","Named chromosome",678.49058
"Infection within diets","LOC126267253","NC_064923.1",635496555,635501025,635498790,"-",1,791150472,"4","4","chromosome","Named chromosome",635.49879
"Infection within diets","LOC126267259","NC_064923.1",227064867,227121303,227093085,"-",1,791150472,"4","4","chromosome","Named chromosome",227.093085
"Infection within diets","LOC126267263","NC_064923.1",263044822,263115051,263079936.5,"+",1,791150472,"4","4","chromosome","Named chromosome",263.0799365
"Infection within diets","LOC126267333","NC_064923.1",262381056,262383452,262382254,"+",1,791150472,"4","4","chromosome","Named chromosome",262.382254
"Infection within diets","LOC126267343","NC_064923.1",195057786,195218116,195137951,"+",1,791150472,"4","4","chromosome","Named chromosome",195.137951
"Infection within diets","LOC126267391","NC_064923.1",651733289,652844442,652288865.5,"-",1,791150472,"4","4","chromosome","Named chromosome",652.2888655
"Infection within diets","LOC126267400","NC_064923.1",654174430,654611346,654392888,"-",1,791150472,"4","4","chromosome","Named chromosome",654.392888
"Infection within diets","LOC126267442","NC_064923.1",773172066,773411212,773291639,"-",1,791150472,"4","4","chromosome","Named chromosome",773.291639
