"gene_id","candidate_theme","Preferred_name","Description","PFAMs","DEG_sets","log2FC_by_diet","min_padj","max_abs_log2FC","KEGG_Pathway"
"LOC126281410","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50; Diet 83","Diet 50=4.67; Diet 83=3.51",2.62e-13,4.67,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126272144","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 33","Diet 33=2.83",5.71e-06,2.83,"-"
"LOC126336695","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 33; Diet 50","Diet 33=-1.56; Diet 50=-1.46",3.81e-05,1.56,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126283788","Detoxification / oxidative stress","-","gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process","G_glu_transpept","Diet 50; Diet 33; Diet 83","Diet 50=2.23; Diet 33=2.14; Diet 83=1.32",8.06e-05,2.23,"ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100"
"LOC126270657","Detoxification / oxidative stress","Cyp18a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=2.84",0.000374,2.84,"ko00981,map00981"
"LOC126272899","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=-1.48",0.000752,1.48,"-"
"LOC126299150","Detoxification / oxidative stress","Cyp314a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 33","Diet 50=-2.41; Diet 33=-1.74",0.000753,2.41,"ko00981,map00981"
"LOC126336730","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50","Diet 50=1.58",0.000976,1.58,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126336841","Detoxification / oxidative stress","-","Glutamate-cysteine ligase activity. It is involved in the biological process described with glutathione biosynthetic process","GCS","Diet 50","Diet 50=1.01",0.000979,1.01,"ko00270,ko00480,ko01100,ko04212,ko04216,map00270,map00480,map01100,map04212,map04216"
"LOC126266714","Detoxification / oxidative stress","-","Insect allergen related repeat, nitrile-specifier detoxification","Ins_allergen_rp","Diet 50","Diet 50=-5.99",0.00113,5.99,"-"
"LOC126293326","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with response to oxidative stress","An_peroxidase","Diet 50","Diet 50=5.72",0.00129,5.72,"-"
"LOC126354485","Detoxification / oxidative stress","-","Cytochrome P-450","p450","Diet 50; Diet 33","Diet 50=5.84; Diet 33=5.19",0.00139,5.84,"-"
"LOC126272724","Detoxification / oxidative stress","GstO2","Glutathione transferase activity. It is involved in the biological process described with metabolic process","GST_C_2,GST_N_3","Diet 50","Diet 50=1.87",0.00188,1.87,"ko00480,ko00790,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00790,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126266822","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 33","Diet 33=-1.45",0.0019,1.45,"-"
"LOC126282123","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 33","Diet 33=-2.45",0.00287,2.45,"-"
"LOC126282119","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50","Diet 50=-3.95",0.00295,3.95,"-"
"LOC126354206","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 50","Diet 50=2.13",0.00527,2.13,"-"
"LOC126305900","Detoxification / oxidative stress","CYP306A1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 33","Diet 33=-1.94",0.0056,1.94,"ko00981,map00981"
"LOC126281404","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50; Diet 33","Diet 50=-2.28; Diet 33=-1.64",0.00637,2.28,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126336692","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33","Diet 50=-1.23; Diet 33=-1.28",0.00639,1.28,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126293386","Detoxification / oxidative stress","-","Animal haem peroxidase","An_peroxidase","Diet 83","Diet 83=1.1",0.00779,1.1,"-"
"LOC126336735","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 50; Diet 33","Diet 50=-2.16; Diet 33=-3.01",0.0079,3.01,"-"
"LOC126336722","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 50","Diet 50=-2.1",0.00819,2.1,"-"
"LOC126354378","Detoxification / oxidative stress","-","cytochrome P450","-","Diet 50","Diet 50=2.9",0.00837,2.9,"-"
"LOC126272939","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50","Diet 50=4.21",0.00869,4.21,"-"
"LOC126281928","Detoxification / oxidative stress","-","It is involved in the biological process described with","An_peroxidase,EF-hand_1,FAD_binding_8,Ferric_reduct,NAD_binding_6","Diet 50","Diet 50=1.41",0.0101,1.41,"ko04013,ko04624,map04013,map04624"
"LOC126320178","Detoxification / oxidative stress","CYP315A1","heme binding. It is involved in the biological process described with oxidation-reduction process","60KD_IMP,p450","Diet 50","Diet 50=-1.99",0.0234,1.99,"ko00981,map00981"
"LOC126281357","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50; Diet 33","Diet 50=-2.77; Diet 33=-2.42",0.0285,2.77,"-"
"LOC126278867","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50","Diet 50=3.66",0.032,3.66,"-"
"LOC126336724","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C,GST_C_2,GST_C_3,GST_N,GST_N_3","Diet 50","Diet 50=-2.48",0.0336,2.48,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126336715","Detoxification / oxidative stress","GstD1","Glutathione S-transferase, N-terminal domain","GST_C,GST_C_3,GST_N,GST_N_3","Diet 50","Diet 50=-1.71",0.0402,1.71,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126267080","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 33","Diet 33=-1.92",0.0443,1.92,"-"
"LOC126355939","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50; Diet 33; Diet 83","Diet 50=6.54; Diet 33=5.71; Diet 83=4.43",3.8e-18,6.54,"ko04138,map04138"
"LOC126337056","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","JHBP","Diet 50; Diet 33; Diet 83","Diet 50=-3.12; Diet 33=-2.21; Diet 83=-2.33",5.88e-10,3.12,"-"
"LOC126356065","Endocrine / nutrient metabolism","-","cationic amino acid transporter","AA_permease_2","Diet 50; Diet 33","Diet 50=1.69; Diet 33=1",5.69e-09,1.69,"-"
"LOC126267114","Endocrine / nutrient metabolism","-","juvenile hormone acid methyltransferase activity","-","Diet 50; Diet 33","Diet 50=10.97; Diet 33=5.54",1.41e-06,10.97,"-"
"LOC126365745","Endocrine / nutrient metabolism","Th","Biopterin-dependent aromatic amino acid hydroxylase","Biopterin_H,Ras","Diet 50; Diet 33","Diet 50=4.88; Diet 33=2.45",2.27e-06,4.88,"ko00350,ko00790,ko00950,ko01100,ko04728,ko04917,ko05012,ko05030,ko05031,ko05034,map00350,map00790,map00950,map01100,map04728,map04917,map05012,map05030,map05031,map05034"
"LOC126271955","Endocrine / nutrient metabolism","Ddc","carboxy-lyase activity. It is involved in the biological process described with cellular amino acid metabolic process","Pyridoxal_deC","Diet 50","Diet 50=1.92",2.49e-06,1.92,"ko00350,ko00360,ko00380,ko00901,ko00950,ko00965,ko01100,ko01110,ko04726,ko04728,ko05030,ko05031,ko05034,map00350,map00360,map00380,map00901,map00950,map00965,map01100,map01110,map04726,map04728,map05030,map05031,map05034"
"LOC126355940","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50; Diet 83; Diet 33","Diet 50=3.53; Diet 83=4.24; Diet 33=2.42",3.12e-06,4.24,"ko04138,map04138"
"LOC126297535","Endocrine / nutrient metabolism","-","amino acid transporter","SDF","Diet 50; Diet 33","Diet 50=1.61; Diet 33=1.24",6.68e-06,1.61,"-"
"LOC126354788","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50","Diet 50=4.94",9.23e-06,4.94,"ko04138,map04138"
"LOC126353933","Endocrine / nutrient metabolism","Tdc1","carboxy-lyase activity. It is involved in the biological process described with cellular amino acid metabolic process","Pyridoxal_deC","Diet 50; Diet 83; Diet 33","Diet 50=2.54; Diet 83=2.65; Diet 33=1.46",1.22e-05,2.65,"ko00350,map00350"
