gene_id,seqid,region_claim,region_length_bp,taxon,isolate,mol_type,source,gff_gene_id,gene_biotype,Description,origin_evidence_class,origin_screen_priority,DEG_contexts,exact_deg_contrasts,GOs,KEGG_ko,KEGG_Pathway,PFAMs,start,end,strand
LOC126301324,NW_026061707.1,RefSeq S. gregaria unplaced genomic region,20428078,7010,iqSchGreg1,genomic DNA,Gnomon,126301324,lncRNA,uncharacterized LOC126301324,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,,,,,15384783,15417961,+
LOC126301328,NW_026061707.1,RefSeq S. gregaria unplaced genomic region,20428078,7010,iqSchGreg1,genomic DNA,Gnomon,126301328,lncRNA,uncharacterized LOC126301328,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 83: infected vs control | Upregulated,,,,,14962782,15014792,+
LOC126301637,NW_026061710.1,RefSeq S. gregaria unplaced genomic region,26857663,7010,iqSchGreg1,genomic DNA,Gnomon,126301637,lncRNA,uncharacterized LOC126301637,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated,,,,,15072570,15392273,+
LOC126301639,NW_026061710.1,RefSeq S. gregaria unplaced genomic region,26857663,7010,iqSchGreg1,genomic DNA,Gnomon,126301639,lncRNA,uncharacterized LOC126301639,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,15441368,15473444,-
LOC126301643,NW_026061710.1,RefSeq S. gregaria unplaced genomic region,26857663,7010,iqSchGreg1,genomic DNA,Gnomon,126301643,lncRNA,uncharacterized LOC126301643,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,,,,,15109702,15124444,-
LOC126302167,NW_026061723.1,RefSeq S. gregaria unplaced genomic region,1659960,7010,iqSchGreg1,genomic DNA,Gnomon,126302167,lncRNA,uncharacterized LOC126302167,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,1625313,1641553,+
LOC126302187,NW_026061724.1,RefSeq S. gregaria unplaced genomic region,17802503,7010,iqSchGreg1,genomic DNA,Gnomon,126302187,lncRNA,uncharacterized LOC126302187,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control,,,,,,14071579,14096467,-
LOC126302191,NW_026061724.1,RefSeq S. gregaria unplaced genomic region,17802503,7010,iqSchGreg1,genomic DNA,Gnomon,126302191,lncRNA,uncharacterized LOC126302191,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection within diets,Infection within diet | Diet 83: infected vs control | Upregulated,,,,,14006633,14020560,+
LOC126302198,NW_026061724.1,RefSeq S. gregaria unplaced genomic region,17802503,7010,iqSchGreg1,genomic DNA,Gnomon,126302198,lncRNA,uncharacterized LOC126302198,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,7809937,7826863,+
LOC126302199,NW_026061724.1,RefSeq S. gregaria unplaced genomic region,17802503,7010,iqSchGreg1,genomic DNA,Gnomon,126302199,lncRNA,uncharacterized LOC126302199,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated,,,,,7576817,7591260,+
LOC126302226,NW_026061724.1,RefSeq S. gregaria unplaced genomic region,17802503,7010,iqSchGreg1,genomic DNA,Gnomon,126302226,lncRNA,uncharacterized LOC126302226,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated,,,,,2048248,2099475,-
LOC126302232,NW_026061724.1,RefSeq S. gregaria unplaced genomic region,17802503,7010,iqSchGreg1,genomic DNA,Gnomon,126302232,lncRNA,uncharacterized LOC126302232,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,,,,,2029757,2209733,-
LOC126302626,NW_026061726.1,RefSeq S. gregaria unplaced genomic region,6115594,7010,iqSchGreg1,genomic DNA,Gnomon,126302626,lncRNA,uncharacterized LOC126302626,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control,,,,,,2447961,2475437,+
