scaffold	comparison_species	query_length_bp	aligned_query_bp	query_coverage_percent	weighted_identity_percent	best_target_sequence	best_alignment_identity_percent	alignment_records	high_conf_aligned_query_bp	high_conf_query_coverage_percent	high_conf_weighted_identity_percent	high_conf_alignment_records
NW_026061707.1	americana	20428078	20360189	99.66766819668497	88.06136898737054	NW_025725405.1	99.96000000000001	22073	7167258	35.08532716587434	91.55973242134274	1630
NW_026061710.1	americana	26857663	26777997	99.70337702129929	88.62230802951156	NW_025725405.1	99.96000000000001	25724	11954792	44.51166134596298	90.68369633129775	2027
NW_026061723.1	americana	1659960	1657147	99.83053808525507	89.57696510734453	NC_061052.1	99.52	338	1162270	70.01795223981301	89.64545412157892	162
NW_026061724.1	americana	17802503	17647639	99.1300998516894	89.3904812417454	NW_025725405.1	99.96000000000001	13942	8338907	46.841205419260426	91.17478013995323	1012
NW_026061726.1	americana	6115594	5992663	97.98987637178007	91.97959325692722	NC_060130.1	96.06	2936	2370454	38.76081374924496	92.15362666410152	201
NW_026061730.1	americana	13365026	13314335	99.62071903189714	90.07674170907609	NW_025725583.1	99.95	11126	5896258	44.11707092825708	90.12924721169638	814
NW_026061732.1	americana	395514	8121	2.0532775072437386	93.61162842233182	NC_060121.1	90.75999999999999	11	0	0.0	0	0
NW_026061743.1	americana		0	0	0		0	0	0	0	0	0
NW_026061752.1	americana	4839267	4823878	99.68199729421832	89.61648142131853	NW_025725405.1	99.96000000000001	3538	3007773	62.153483161809426	91.47518580667115	436
NW_026061756.1	americana	4434329	4428225	99.86234670454087	88.61559093073949	NW_025725231.1	99.33999999999999	709	3026159	68.24389890781671	88.86174350797951	245
NW_026061762.1	americana	9066619	9058488	99.9103193814585	88.52413104019587	NW_025725583.1	99.56	1474	6144034	67.76543714917325	88.96463737614481	605
NW_026061786.1	americana	8140279	8048455	98.87197969504486	90.5236277257169	NW_025726368.1	99.91	2347	5588860	68.65686053266725	92.25423171229329	377
NW_026061799.1	americana	11369862	11269607	99.11823907801168	88.2531266225731	NC_061052.1	99.82	11210	4902467	43.118087097275236	91.85172317313997	1070
NW_026061824.1	americana	21740884	21646394	99.56538105810233	89.04344132045591	NW_025725470.1	99.72	4177	15239719	70.09705309130945	89.37142949736521	1944
NW_026061838.1	americana		0	0	0		0	0	0	0	0	0
NW_026061847.1	americana	2743148	2356085	85.88982439153848	87.85146826781148	NW_025726478.1	98.32	996	836168	30.482059298295244	91.71672630835684	45
NW_026061883.1	americana	6573511	6559601	99.78839314332934	88.24467096553354	NW_025726642.1	99.5	1100	4491113	68.32137346389167	88.28699352835528	473
NW_026061884.1	americana	6337860	6322753	99.76163878659358	89.84182861366757	NW_025725405.1	99.96000000000001	3627	1998745	31.53659121533136	92.36279125209296	265
NW_026061886.1	americana		0	0	0		0	0	0	0	0	0
NW_026061891.1	americana	1791060	1711241	95.54347704711176	86.60600246950352	NC_060119.1	94.75	794	403921	22.552064140788136	89.67161459990753	15
NW_026061953.1	americana	216778	326	0.15038426408583896	94.20264285714285	NW_025726082.1	97.89	6	0	0.0	0	0
NW_026061958.1	americana		0	0	0		0	0	0	0	0	0
NW_026061960.1	americana		0	0	0		0	0	0	0	0	0
NW_026061970.1	americana	278481	278113	99.86785453944793	93.35056048307118	NW_025726489.1	99.22	52	277220	99.54718634305392	94.44333236682209	11
NW_026061974.1	americana	122239	54	0.04417575405557964	94.82000000000001	NC_060121.1	94.82000000000001	1	0	0.0	0	0
NW_026061985.1	americana		0	0	0		0	0	0	0	0	0
