gene_id	seqid	sequence_length	description	gene_biotype	mapping_support	n_contrasts	contrasts	min_padj	max_abs_log2FoldChange	competitive_host_retained_fraction	host_counts_not_retained
LOC126304650	NW_026061732.1	395514	uncharacterized LOC126304650	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0380271566047917	5.889856257356219	1.0	0.0
LOC126304653	NW_026061732.1	395514	cyclic GMP-binding protein C-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0430592718248711	5.794381139707334	1.0	0.0
LOC126304666	NW_026061732.1	395514	uncharacterized LOC126304666	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0139267445372453	6.598506339541848	1.0	0.0
LOC126304673	NW_026061732.1	395514	SCF ubiquitin ligase complex protein SKP1b-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0449187727964838	6.4054662556486495	1.0	0.0
LOC126304682	NW_026061732.1	395514	uncharacterized LOC126304682	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0304273212136565	6.119837673195303	1.0	0.0
LOC126304685	NW_026061732.1	395514	F-actin-capping protein subunit alpha-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0319954514525205	5.759180917382306	1.0	0.0
LOC126304689	NW_026061732.1	395514	actin, plasmodial isoform-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0264374497232303	5.206039321843789	0.9995782738311642	29.0
LOC126304692	NW_026061732.1	395514	uncharacterized LOC126304692	lncRNA	Significant in both mappings	2	infected_diet33_vs50;infection_average_all_diets	0.0448417216968317	5.885903257417209	1.0	0.0
LOC126304701	NW_026061732.1	395514	uncharacterized LOC126304701	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0307217240803232	6.351802653021625	1.0	0.0
LOC126304702	NW_026061732.1	395514	60S ribosomal protein L34-like	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0238128386524711	6.242735261921967	1.0	0.0
LOC126304713	NW_026061732.1	395514	general transcription and DNA repair factor IIH helicase subunit XPB-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0321202567591405	6.724588606685287	1.0	0.0
LOC126304721	NW_026061732.1	395514	S-adenosylmethionine synthase-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0485065102272896	6.172208558162599	1.0	0.0
LOC126304722	NW_026061732.1	395514	putative protein TPRXL	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0333084731359573	6.056381895093934	1.0	0.0
LOC126304732	NW_026061732.1	395514	phosphatidate phosphatase LPIN3-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0321202567591405	6.170595131618833	1.0	0.0
LOC126304739	NW_026061732.1	395514	uncharacterized LOC126304739	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	3.513430987411545e-21	22.245677493476173	1.0	0.0
LOC126304741	NW_026061732.1	395514	probable chitinase 2	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0470294434674024	5.851238716433116	1.0	0.0
LOC126304742	NW_026061732.1	395514	filamin-C-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0363211010092351	5.986312598592844	1.0	0.0
LOC126304744	NW_026061732.1	395514	ras-related protein rapA-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0396014799737801	5.345640894246915	1.0	0.0
LOC126304746	NW_026061732.1	395514	protein aubergine-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0301340179287213	6.4213533748514395	1.0	0.0
LOC126304749	NW_026061732.1	395514	uncharacterized LOC126304749	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0449035785767953	5.118557419872599	1.0	0.0
LOC126304750	NW_026061732.1	395514	ATP-dependent zinc metalloprotease FtsH-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0339546106696041	6.289205712606315	1.0	0.0
LOC126304751	NW_026061732.1	395514	crustapain-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0389216610784076	5.977054960980428	1.0	0.0
LOC126304753	NW_026061732.1	395514	uncharacterized LOC126304753	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0344466040260539	6.5701430811203165	1.0	0.0
LOC126304757	NW_026061732.1	395514	uncharacterized LOC126304757	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0400044084584899	5.70451280125073	1.0	0.0
LOC126304758	NW_026061732.1	395514	adenosylhomocysteinase-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.043939976915736	5.967654988830525	1.000667556742323	-1.0
LOC126304759	NW_026061732.1	395514	eukaryotic peptide chain release factor subunit 1-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0243808454651399	6.696997014456989	1.0	0.0
LOC126304760	NW_026061732.1	395514	uncharacterized LOC126304760	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0446846352399626	5.572642201426187	1.0	0.0
LOC126304762	NW_026061732.1	395514	branchpoint-bridging protein-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0351986125474578	5.595377900382879	1.0	0.0
LOC126304763	NW_026061732.1	395514	thioredoxin reductase-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0446846352399626	6.368933688070398	1.0	0.0
LOC126304764	NW_026061732.1	395514	trafficking protein particle complex subunit 12-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0232004788453257	7.118713846926923	1.0	0.0
