gene_id	seqid	description_official	gene_biotype	DEG_context	comparisons	directions	focused_origin_audit	mapping_support	competitive_host_retained_fraction	integrated_evidence	nucleotide_support_corrected	nucleotide_groups	nucleotide_taxa	nucleotide_max_identity	nucleotide_max_query_coverage	protein_support	fresh_significant_contrasts	fresh_higher_in	fresh_max_abs_log2FC	fresh_min_padj
LOC126304978	NW_026061743.1	ribonucleoside-diphosphate reductase small subunit-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.432147956451395	3.0015839951677784e-27
LOC126317104	NW_026062009.1	type-3 glutamine synthetase-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.773471757843904	3.0015839951677784e-27
LOC126319968	NW_026062071.1	uncharacterized LOC126319968	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.257600869884588	3.0015839951677784e-27
LOC126322562	NW_026062185.1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 homolog	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.965994613149064	3.3758904783319506e-27
LOC126325861	NW_026062299.1	homeobox protein 3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous;Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.024605871296234	3.3758904783319506e-27
LOC126319935	NW_026062071.1	uncharacterized LOC126319935	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.15536428982536	3.5442139220442536e-27
LOC126304764	NW_026061732.1	trafficking protein particle complex subunit 12-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Other-metazoan protein support only	No informative external hit					Other metazoan support	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.281935683864038	4.497117753664857e-27
LOC126316751	NW_026061988.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Arthropod/orthopteran protein support only	No informative external hit					Broader arthropod support	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.73429429611308	4.6454746177207876e-27
LOC126317118	NW_026062009.1	serine/threonine-protein phosphatase 4 catalytic subunit-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous;Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.79642538674252	4.6454746177207876e-27
LOC126318447	NW_026062051.1	uncharacterized LOC126318447	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.268520063787367	4.6454746177207876e-27
