"gene_id","Preferred_name","Description","PFAMs","theme","term_group","matched_pattern"
"LOC126336762","-","Microsomal triglyceride transfer protein","Vitellogenin_N","Protein and amino-acid availability","Storage proteins","storage protein|hexamerin|arylphorin|vitellogenin|yolk protein"
"LOC126298412","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1943,Vitellogenin_N","Protein and amino-acid availability","Storage proteins","storage protein|hexamerin|arylphorin|vitellogenin|yolk protein"
"LOC126299565","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1081,DUF1943,VWD,Vitellogenin_N","Protein and amino-acid availability","Storage proteins","storage protein|hexamerin|arylphorin|vitellogenin|yolk protein"
"LOC126299533","-","nutrient reservoir activity","DUF1943,VWD,Vitellogenin_N","Protein and amino-acid availability","Storage proteins","storage protein|hexamerin|arylphorin|vitellogenin|yolk protein"
"LOC126299332","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1081,DUF1943,VWD,Vitellogenin_N","Protein and amino-acid availability","Storage proteins","storage protein|hexamerin|arylphorin|vitellogenin|yolk protein"
"LOC126324319","-","Carboxypeptidase regulatory-like domain","CarboxypepD_reg,Peptidase_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281580","-","Belongs to the peptidase S1 family","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126335020","CLIPC1","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336406","-","Trypsin-like serine protease","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336505","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336510","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336523","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336518","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126285092","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126329804","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126334961","-","Kazal type serine protease inhibitors","Kazal_1,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126338987","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Fz,Ldl_recept_a,SEA,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126339612","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126339755","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126339739","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126339781","-","Inter-alpha-trypsin inhibitor heavy chain H4-like Protein","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
