Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC124621878	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124621885	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124621987	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124621995	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124622163	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124622163	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124622163	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124622193	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124622201	LOW QUALITY PROTEIN: molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124545636	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0004672 protein kinase activity
LOC124545636	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005515 protein binding
LOC124545636	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005524 ATP binding
LOC124545636	ovarian-specific serine/threonine-protein kinase Lok-like	P GO:0006468 protein phosphorylation
LOC124545671	AH receptor-interacting protein isoform X1	F GO:0003755 peptidyl-prolyl cis-trans isomerase activity
LOC124545731	NAD(+) hydrolase sarm1-like isoform X1	F GO:0005515 protein binding
LOC124545782	kanadaptin isoform X1	F GO:0005515 protein binding
LOC124545798	hypothetical protein GEV33_011751	F GO:0004672 protein kinase activity
LOC124545798	hypothetical protein GEV33_011751	F GO:0005524 ATP binding
LOC124545798	hypothetical protein GEV33_011751	P GO:0006468 protein phosphorylation
LOC124620204	zinc finger protein ZPR1-like isoform X1	F GO:0008270 zinc ion binding
LOC124621739	dynein axonemal light chain 1-like	F GO:0005515 protein binding
LOC124623043	phosphatidylinositol-binding clathrin assembly protein-like	P GO:0048268 clathrin coat assembly
LOC124623043	phosphatidylinositol-binding clathrin assembly protein-like	F GO:0030276 clathrin binding
LOC124623043	phosphatidylinositol-binding clathrin assembly protein-like	C GO:0030136 clathrin-coated vesicle
LOC124623043	phosphatidylinositol-binding clathrin assembly protein-like	F GO:0005545 1-phosphatidylinositol binding
LOC124623105	carboxypeptidase E-like	F GO:0004181 metallocarboxypeptidase activity
LOC124623105	carboxypeptidase E-like	F GO:0008270 zinc ion binding
LOC124623105	carboxypeptidase E-like	P GO:0006508 proteolysis
LOC124545857	NAD-dependent protein deacetylase sirtuin-1 isoform X3	F GO:0070403 NAD+ binding
LOC124545887	40S ribosomal protein S24 isoform X3	C GO:0005840 ribosome
LOC124545887	40S ribosomal protein S24 isoform X3	F GO:0003735 structural constituent of ribosome
LOC124545887	40S ribosomal protein S24 isoform X3	P GO:0006412 translation
LOC124545912	ubiquitin-protein ligase E3B	F GO:0004842 ubiquitin-protein transferase activity
LOC124545912	ubiquitin-protein ligase E3B	F GO:0005515 protein binding
LOC124545967	5-hydroxytryptamine receptor 1A-like	C GO:0016020 membrane
LOC124545967	5-hydroxytryptamine receptor 1A-like	F GO:0004930 G protein-coupled receptor activity
LOC124545967	5-hydroxytryptamine receptor 1A-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124620221	methionine synthase reductase-like	F GO:0016491 oxidoreductase activity
LOC124546004	tight junction protein ZO-1 isoform X3	F GO:0005515 protein binding
LOC124546206	protein spinster	F GO:0022857 transmembrane transporter activity
LOC124546206	protein spinster	P GO:0055085 transmembrane transport
LOC124620232	solute carrier family 35 member G1-like	C GO:0016020 membrane
LOC124620243	geminin	P GO:0006275 regulation of DNA replication
LOC124620381	cytochrome P450 315a1, mitochondrial, partial	F GO:0004497 monooxygenase activity
LOC124620381	cytochrome P450 315a1, mitochondrial, partial	F GO:0005506 iron ion binding
LOC124620381	cytochrome P450 315a1, mitochondrial, partial	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124620381	cytochrome P450 315a1, mitochondrial, partial	F GO:0020037 heme binding
LOC124620255	hypothetical protein L9F63_012596	F GO:0005515 protein binding
LOC124620272	calcium-binding protein E63-1 isoform X2	F GO:0005509 calcium ion binding
LOC124546553	protein flightless-1	F GO:0051015 actin filament binding
LOC124620325	protein YIF1B isoform X2	C GO:0005789 endoplasmic reticulum membrane
LOC124620325	protein YIF1B isoform X2	P GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
LOC124546690	cystathionine beta-synthase	P GO:0006520 amino acid metabolic process
LOC124546690	cystathionine beta-synthase	P GO:0006790 sulfur compound metabolic process
LOC124546690	cystathionine beta-synthase	P GO:0009058 biosynthetic process
LOC124596818	piwi-like protein Siwi	F GO:0003723 RNA binding
LOC124596818	piwi-like protein Siwi	F GO:0005515 protein binding
LOC124620341	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC124547764	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC124622184	meiotic recombination protein REC8 homolog	F GO:0005515 protein binding
LOC124547796	39S ribosomal protein L19, mitochondrial	C GO:0005840 ribosome
LOC124547796	39S ribosomal protein L19, mitochondrial	F GO:0003735 structural constituent of ribosome
LOC124547796	39S ribosomal protein L19, mitochondrial	P GO:0006412 translation
LOC124547828	integral membrane protein GPR180	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124547828	integral membrane protein GPR180	P GO:0019236 response to pheromone
LOC124547844	cytochrome c oxidase assembly protein COX15 homolog	C GO:0016020 membrane
LOC124547844	cytochrome c oxidase assembly protein COX15 homolog	F GO:0016653 oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
LOC124547844	cytochrome c oxidase assembly protein COX15 homolog	P GO:0006784 heme A biosynthetic process
LOC124596979	uncharacterized protein LOC124596979	F GO:0004601 peroxidase activity
LOC124596979	uncharacterized protein LOC124596979	F GO:0020037 heme binding
LOC124596979	uncharacterized protein LOC124596979	P GO:0006979 response to oxidative stress
LOC124620363	sulfite oxidase, mitochondrial-like	F GO:0016491 oxidoreductase activity
LOC124547979	sulfite oxidase-like	F GO:0016491 oxidoreductase activity
LOC124547979	sulfite oxidase-like	F GO:0030151 molybdenum ion binding
LOC124547995	anaphase-promoting complex subunit 1 isoform X1	C GO:0005634 nucleus
LOC124547995	anaphase-promoting complex subunit 1 isoform X1	F GO:0005515 protein binding
LOC124547995	anaphase-promoting complex subunit 1 isoform X1	P GO:0009987 cellular process
LOC124547995	anaphase-promoting complex subunit 1 isoform X1	P GO:0019538 protein metabolic process
LOC124624204	calsenilin	F GO:0005509 calcium ion binding
LOC124620372	DDB1- and CUL4-associated factor 7-like	F GO:0005515 protein binding
LOC124597138	uncharacterized protein LOC124597138	C GO:0016020 membrane
