Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC126234396	zinc metalloproteinase nas-14-like isoform X1	P GO:0006508 proteolysis
LOC126234396	zinc metalloproteinase nas-14-like isoform X1	F GO:0004222 metalloendopeptidase activity
LOC126240382	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126240382	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126240382	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126240361	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126240361	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126240361	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126240234	ras-GEF domain-containing family member 1B-like	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC126240234	ras-GEF domain-containing family member 1B-like	P GO:0007264 small GTPase-mediated signal transduction
LOC126240414	EF-hand calcium-binding domain-containing protein 4A-like isoform X1	F GO:0005509 calcium ion binding
LOC126240450	trypsin beta-like	F GO:0004252 serine-type endopeptidase activity
LOC126240450	trypsin beta-like	P GO:0006508 proteolysis
LOC126240266	chondroitin sulfate N-acetylgalactosaminyltransferase 2-like	C GO:0032580 Golgi cisterna membrane
LOC126240266	chondroitin sulfate N-acetylgalactosaminyltransferase 2-like	F GO:0008376 acetylgalactosaminyltransferase activity
LOC126240282	transformation/transcription domain-associated protein	F GO:0005515 protein binding
LOC126240298	kelch-like protein 10	F GO:0005515 protein binding
LOC126241377	chondroitin sulfate N-acetylgalactosaminyltransferase 1-like	C GO:0032580 Golgi cisterna membrane
LOC126241377	chondroitin sulfate N-acetylgalactosaminyltransferase 1-like	F GO:0008376 acetylgalactosaminyltransferase activity
LOC126240514	5-phosphohydroxy-L-lysine phospho-lyase-like	F GO:0008483 transaminase activity
LOC126240514	5-phosphohydroxy-L-lysine phospho-lyase-like	F GO:0030170 pyridoxal phosphate binding
LOC126241974	protein 5NUC-like	F GO:0016787 hydrolase activity
