scaffold	source_run	source_model	assembly_sequence_role	assembly_unit	length_bp	gc_percent	n_percent	annotated_genes	candidate_deg_genes	annotated_genes_per_mb	candidate_deg_genes_per_mb	n_deg_contrasts	deg_contrasts	kraken_status	kraken_taxid	kraken_taxon_name	kraken_broad_group	kraken_lineage	cross_species_best_species	cross_species_max_coverage_percent	cross_species_weighted_identity_percent	cross_species_best_target_sequence	cross_species_strong_support_count	cross_species_strong_support_species	cross_species_partial_support_count	cross_species_partial_support_species	ncbi_fcs_run_date	ncbi_fcs_db_build_date	ncbi_fcs_asserted_division	ncbi_fcs_flagged	fcs_action	fcs_contam_type	fcs_coverage	fcs_contam_details	preliminary_evidence_status	recommended_next_test	automatic_filter_decision	assembly_bioproject	assembly_biosample	assembly_length_bp	n_unique_deg_genes
NW_026061707.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	20428078	42.21944423748529	0.0	279	2	13.657672542664073	0.09790446267142705	2	infection_average_all_diets;infection_diet50	Unclassified	0	unclassified	Unclassified		serialis_cubense	37.32395676186472	90.84627488192501	NW_026048363.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	20428078	2
NW_026061710.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	26857663	42.93213821321684	0.0	103	4	3.835032109830256	0.14893328581865073	2	infection_average_all_diets;infection_diet50	Unclassified	0	unclassified	Unclassified		americana	44.51166134596298	90.68369633129775	NW_025725405.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	26857663	4
NW_026061723.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	1659960	41.96227619942649	0.0	5	1	3.0121207739945537	0.6024241547989108	3	infection_average_all_diets;infection_diet50;infection_diet83	Unclassified	0	unclassified	Unclassified		americana	70.01795223981301	89.64545412157892	NC_061052.1	2	americana;piceifrons	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	1659960	1
NW_026061724.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	17802503	43.20750290001355	0.0	403	9	22.637266231607992	0.5055468885470767	2	infection_average_all_diets;infection_diet83	Unclassified	0	unclassified	Unclassified		americana	46.841205419260426	91.17478013995323	NW_025725405.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	17802503	9
NW_026061726.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	6115594	46.01870235336093	0.0	60	1	9.81098483646887	0.16351641394114783	3	infection_average_all_diets;infection_diet50;infection_diet83	Unclassified	0	unclassified	Unclassified		serialis_cubense	39.07831357019449	92.27581075993642	NW_026047654.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	6115594	1
NW_026061730.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	13365026	44.06087949249032	0.0	1576	1	117.91971074354812	0.07482215148702293	1	infection_average_all_diets	Unclassified	0	unclassified	Unclassified		piceifrons	47.30217509490816	91.2886134185174	NW_025728246.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	13365026	1
NW_026061732.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	395514	39.85724904807415	0.0	113	32	285.7041722922577	80.90737622435616	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	395514	32
NW_026061743.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	149608	45.35051601518635	0.0	43	13	287.41778514517944	86.89374899737983	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	149608	13
NW_026061752.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	4839267	41.48210875737999	0.0	29	1	5.992643100700994	0.2066428655414136	3	infection_average_all_diets;infection_diet50;infection_diet83	Unclassified	0	unclassified	Unclassified		americana	62.153483161809426	91.47518580667115	NW_025725405.1	3	americana;piceifrons;serialis_cubense	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	4839267	1
NW_026061756.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	4434329	41.89023863587929	0.0	6	1	1.3530795752863625	0.22551326254772708	1	infection_average_all_diets	Unclassified	0	unclassified	Unclassified		piceifrons	69.81669605480333	89.45680552007124	NW_025728272.1	2	americana;piceifrons	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	4434329	1
