source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,sequence_class,original_significant_contrasts,current_significant_contrasts,newly_significant_contrasts,no_longer_significant_contrasts,figure_scope,homology_evidence,evidence_tier,nucleotide_groups,nucleotide_taxa,nucleotide_max_identity,nucleotide_max_query_coverage,protein_support
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126318362,vegetative catalase-like,vegetative catalase-like,protein_coding,NW_026062048.1,ptg000665l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126326116,translation initiation factor eIF-2B subunit delta-like,translation initiation factor eIF-2B subunit delta-like,protein_coding,NW_026062325.1,ptg000973l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Saprolegnia diclina VS20,65.394,27,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126329065,elongation factor 1-alpha-like,elongation factor 1-alpha-like,protein_coding,NW_026062491.1,ptg001160l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Aphanomyces invadans;Pygsuia biforma;Tetrahymena pyriformis;Tetrahymena thermophila;Tetrahymena thermophila SB210,71.294,74,Non-metazoan candidate
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126319940,"aspartate aminotransferase, mitochondrial-like","aspartate aminotransferase, mitochondrial-like",protein_coding,NW_026062071.1,ptg000691l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126314456,60S ribosomal protein L9-like,60S ribosomal protein L9-like,protein_coding,NW_026061953.1,ptg000560l,unplaced-scaffold,Unplaced scaffold,0,3,3,0,Unplaced scaffold,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Fungi,Linderina pennispora,66.387,34,Mixed/ambiguous
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126315212,40S ribosomal protein S6-like,40S ribosomal protein S6-like,protein_coding,NW_026061958.1,ptg000566l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Fungi,Linderina pennispora,69.266,44,Mixed/ambiguous
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126320365,40S ribosomal protein SA-like,40S ribosomal protein SA-like,protein_coding,NW_026062094.1,ptg000716l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Fungi,Colletotrichum aenigma;Colletotrichum chrysophilum;Colletotrichum fructicola Nara gc5;Colletotrichum karsti;Colletotrichum siamense;Diaporthe citri,74.233,53,Mixed/ambiguous
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126322623,DNA-directed RNA polymerase III subunit RPC1-like,DNA-directed RNA polymerase III subunit RPC1-like,protein_coding,NW_026062185.1,ptg000818l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Rostrostelium ellipticum,68.728,38,Mixed/ambiguous
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316823,dedicator of cytokinesis protein 9-like,dedicator of cytokinesis protein 9-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126322593,glutathione S-transferase D4-like,glutathione S-transferase D4-like,protein_coding,NW_026062185.1,ptg000818l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,ptg000596l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,LOC126316687,proton-coupled amino acid transporter 4-like,proton-coupled amino acid transporter 4-like,protein_coding,NW_026061985.1,ptg000596l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126317104,type-3 glutamine synthetase-like,type-3 glutamine synthetase-like,protein_coding,NW_026062009.1,ptg000621l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126330815,probable alanine aminotransferase mitochondrial (aa metabolism),"probable alanine aminotransferase, mitochondrial",protein_coding,NW_026062667.1,ptg001361l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126304702,60S ribosomal protein L34-like,60S ribosomal protein L34-like,protein_coding,NW_026061732.1,ptg000182l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126318218,30S ribosomal protein S9-like,30S ribosomal protein S9-like,protein_coding,NW_026062043.1,ptg000659l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126318441,elongation factor 1-gamma-A-like,elongation factor 1-gamma-A-like,protein_coding,NW_026062051.1,ptg000668l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,No informative hit;Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126323753,eukaryotic translation initiation factor 5-like,eukaryotic translation initiation factor 5-like,protein_coding,NW_026062229.1,ptg000867l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126323761,60S ribosomal protein L14-like,60S ribosomal protein L14-like,protein_coding,NW_026062229.1,ptg000867l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126323922,60S ribosomal protein L7a-like,60S ribosomal protein L7a-like,protein_coding,NW_026062236.1,ptg000875l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126325806,60S ribosomal protein L6-like,60S ribosomal protein L6-like,protein_coding,NW_026062299.1,ptg000946l,unplaced-scaffold,Unplaced scaffold,0,3,3,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126332393,DNA-directed RNA polymerase I subunit rpa1-like,DNA-directed RNA polymerase I subunit rpa1-like,protein_coding,NW_026062747.1,ptg001449l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate
