method	qseqid	gene_id	seqid	qlen	sseqid	taxid	scientific_name	broad_group	lineage	pident	length	qcovhsp	evalue	bitscore	stitle
BLASTn core_nt	LOC126304650|NW_026061732.1:278594-280634|-	LOC126304650	NW_026061732.1	2041	gi|2284197262|ref|XM_049991822.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	821	40	0.0	1481	PREDICTED: Schistocerca gregaria uncharacterized LOC126304650 (LOC126304650), transcript variant X1, mRNA
BLASTn core_nt	LOC126304650|NW_026061732.1:278594-280634|-	LOC126304650	NW_026061732.1	2041	gi|2284197264|ref|XM_049991823.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	821	40	0.0	1481	PREDICTED: Schistocerca gregaria uncharacterized LOC126304650 (LOC126304650), transcript variant X2, mRNA
BLASTn core_nt	LOC126304653|NW_026061732.1:217551-221349|+	LOC126304653	NW_026061732.1	3799	gi|2284197268|ref|XM_049991825.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2891	76	0.0	5214	PREDICTED: Schistocerca gregaria cyclic GMP-binding protein C-like (LOC126304653), mRNA
BLASTn core_nt	LOC126304666|NW_026061732.1:255965-257726|+	LOC126304666	NW_026061732.1	1762	gi|2284197294|ref|XM_049991837.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	1469	83	0.0	2650	PREDICTED: Schistocerca gregaria uncharacterized LOC126304666 (LOC126304666), mRNA
BLASTn core_nt	LOC126304673|NW_026061732.1:290150-291353|-	LOC126304673	NW_026061732.1	1204	gi|2284197308|ref|XM_049991844.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	399	33	0.0	720	PREDICTED: Schistocerca gregaria SCF ubiquitin ligase complex protein SKP1b-like (LOC126304673), mRNA
BLASTn core_nt	LOC126304682|NW_026061732.1:170181-172498|+	LOC126304682	NW_026061732.1	2318	gi|2284197330|ref|XM_049991855.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	986	43	0.0	1779	PREDICTED: Schistocerca gregaria uncharacterized LOC126304682 (LOC126304682), transcript variant X1, mRNA
BLASTn core_nt	LOC126304682|NW_026061732.1:170181-172498|+	LOC126304682	NW_026061732.1	2318	gi|2284197332|ref|XR_007553159.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	949	41	0.0	1712	PREDICTED: Schistocerca gregaria uncharacterized LOC126304682 (LOC126304682), transcript variant X2, misc_RNA
BLASTn core_nt	LOC126304685|NW_026061732.1:239470-241053|-	LOC126304685	NW_026061732.1	1584	gi|2284197335|ref|XM_049991857.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	497	31	0.0	897	PREDICTED: Schistocerca gregaria F-actin-capping protein subunit alpha-like (LOC126304685), mRNA
BLASTn core_nt	LOC126304689|NW_026061732.1:141490-142755|-	LOC126304689	NW_026061732.1	1266	gi|2284197345|ref|XM_049991862.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	1266	100	0.0	2284	PREDICTED: Schistocerca gregaria actin, plasmodial isoform-like (LOC126304689), mRNA
BLASTn core_nt	LOC126304692|NW_026061732.1:144940-146054|+	LOC126304692	NW_026061732.1	1115	gi|2284197349|ref|XR_007553160.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	582	52	0.0	1050	PREDICTED: Schistocerca gregaria uncharacterized LOC126304692 (LOC126304692), ncRNA
BLASTn core_nt	LOC126304701|NW_026061732.1:119522-121404|+	LOC126304701	NW_026061732.1	1883	gi|2284197370|ref|XM_049991874.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	1171	62	0.0	2113	PREDICTED: Schistocerca gregaria uncharacterized LOC126304701 (LOC126304701), mRNA
BLASTn core_nt	LOC126304702|NW_026061732.1:280955-281591|-	LOC126304702	NW_026061732.1	637	gi|2284197372|ref|XM_049991875.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	405	64	0.0	731	PREDICTED: Schistocerca gregaria 60S ribosomal protein L34-like (LOC126304702), mRNA
BLASTn core_nt	LOC126304713|NW_026061732.1:242935-245559|-	LOC126304713	NW_026061732.1	2625	gi|2284197396|ref|XM_049991886.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2625	100	0.0	4735	PREDICTED: Schistocerca gregaria general transcription and DNA repair factor IIH helicase subunit XPB-like (LOC126304713), mRNA
BLASTn core_nt	LOC126304713|NW_026061732.1:242935-245559|-	LOC126304713	NW_026061732.1	2625	gi|2284197402|ref|XM_049991889.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2625	100	0.0	4735	PREDICTED: Schistocerca gregaria BCAS3 microtubule associated cell migration factor-like (LOC126304714), transcript variant X3, mRNA
BLASTn core_nt	LOC126304713|NW_026061732.1:242935-245559|-	LOC126304713	NW_026061732.1	2625	gi|2284197404|ref|XM_049991890.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2625	100	0.0	4735	PREDICTED: Schistocerca gregaria BCAS3 microtubule associated cell migration factor-like (LOC126304714), transcript variant X4, mRNA
BLASTn core_nt	LOC126304721|NW_026061732.1:126914-128495|+	LOC126304721	NW_026061732.1	1582	gi|2284197419|ref|XM_049991897.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	944	60	0.0	1703	PREDICTED: Schistocerca gregaria S-adenosylmethionine synthase-like (LOC126304721), mRNA
BLASTn core_nt	LOC126304722|NW_026061732.1:7652-9052|-	LOC126304722	NW_026061732.1	1401	gi|2284197421|ref|XM_049991898.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	99.234	522	37	0.0	918	PREDICTED: Schistocerca gregaria putative protein TPRXL (LOC126304722), partial mRNA
BLASTn core_nt	LOC126304732|NW_026061732.1:177415-183014|+	LOC126304732	NW_026061732.1	5600	gi|2284197437|ref|XM_049991906.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2431	43	0.0	4385	PREDICTED: Schistocerca gregaria phosphatidate phosphatase LPIN3-like (LOC126304732), mRNA
BLASTn core_nt	LOC126304741|NW_026061732.1:366925-368536|-	LOC126304741	NW_026061732.1	1612	gi|2284214613|ref|XM_049996554.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	89.870	1303	81	0.0	1746	PREDICTED: Schistocerca gregaria probable chitinase 2 (LOC126332180), mRNA
