gene_id,description_gff,source_sheet,umbrella,subcategory,seqid,homology_evidence,evidence_tier,nucleotide_groups,nucleotide_taxa,nucleotide_max_identity,nucleotide_max_query_coverage,protein_support,contrast_label,oriented_log2FC,padj,status,higher_expression_condition
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,1.623558184209843,0.467965588349566,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,-0.7907200001251705,0.9151707464279648,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-2.4142781843350134,0.7406342947560963,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,1.5239584361195326,0.7057611307399487,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,0.7798006513573607,0.940458865496828,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,0.20537823594805732,0.9962174645400436,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,2.0614683450859816,0.4092772081770802,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,-0.0286322759696516,0.9958520153178724,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-2.090100621055633,0.7406342947560963,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-0.0743885540194803,0.9897952017057396,N.S.,Not significant
