scaffold	source_run	source_model	n_unique_deg_genes	n_deg_contrasts	deg_contrasts	assembly_sequence_role	assembly_unit	assembly_length_bp	assembly_bioproject	assembly_biosample	ncbi_fcs_run_date	ncbi_fcs_db_build_date	ncbi_fcs_asserted_division	ncbi_fcs_flagged	fcs_action	fcs_contam_type	fcs_coverage	fcs_contam_details
NW_026061707.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	2	infection_average_all_diets;infection_diet50	unplaced-scaffold	Primary Assembly	20428078	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061710.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	4	2	infection_average_all_diets;infection_diet50	unplaced-scaffold	Primary Assembly	26857663	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061723.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	3	infection_average_all_diets;infection_diet50;infection_diet83	unplaced-scaffold	Primary Assembly	1659960	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061724.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	9	2	infection_average_all_diets;infection_diet83	unplaced-scaffold	Primary Assembly	17802503	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061726.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	3	infection_average_all_diets;infection_diet50;infection_diet83	unplaced-scaffold	Primary Assembly	6115594	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061730.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infection_average_all_diets	unplaced-scaffold	Primary Assembly	13365026	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061732.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	32	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	395514	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061743.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	13	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	149608	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061752.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	3	infection_average_all_diets;infection_diet50;infection_diet83	unplaced-scaffold	Primary Assembly	4839267	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061756.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infection_average_all_diets	unplaced-scaffold	Primary Assembly	4434329	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061762.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	3	infection_average_all_diets;infection_diet50;infection_diet83	unplaced-scaffold	Primary Assembly	9066619	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061786.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infection_diet83	unplaced-scaffold	Primary Assembly	8140279	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061799.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	1	infection_average_all_diets	unplaced-scaffold	Primary Assembly	11369862	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061824.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	3	4	infection_average_all_diets;infection_diet33;infection_diet50;infection_diet83	unplaced-scaffold	Primary Assembly	21740884	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061838.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	23	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	218639	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061847.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	2	infection_average_all_diets;infection_diet50	unplaced-scaffold	Primary Assembly	2743148	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061883.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	2	infection_average_all_diets;infection_diet50	unplaced-scaffold	Primary Assembly	6573511	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061884.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	4	infection_average_all_diets;infection_diet33;infection_diet50;infection_diet83	unplaced-scaffold	Primary Assembly	6337860	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061886.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	30	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	283099	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061891.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infection_diet83	unplaced-scaffold	Primary Assembly	1791060	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061953.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	21	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	216778	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061958.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	unplaced-scaffold	Primary Assembly	23566	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061960.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	73	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	597154	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061970.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infection_average_all_diets	unplaced-scaffold	Primary Assembly	278481	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061974.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	10	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	122239	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061985.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	12	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	114926	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026061988.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	32	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	376478	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062003.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	27	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	342834	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062009.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	20	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	188512	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
