gene_id,description_gff,source_sheet,umbrella,subcategory,seqid,homology_evidence,evidence_tier,nucleotide_groups,nucleotide_taxa,nucleotide_max_identity,nucleotide_max_query_coverage,protein_support,contrast_label,oriented_log2FC,padj,status,higher_expression_condition
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,5.467302926181041,0.00954323392089672,Upregulated,Infected diet 50
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.525033716629829,0.11037509132111405,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-0.9422692095512124,0.8410735678958844,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-2.169730706295162,0.29794533384765587,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,0.6608891102926578,0.8889466092032516,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,1.6007930588367294,1,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,5.438464991600003,0.01037149347359283,Upregulated,Infected diet 50
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.1999445625737035,0.11566969488539282,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.2385204290262994,0.8410735678958844,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-3.3387999997638036,0.1268707157317624,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-0.3522325090229523,0.9448334038661595,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,1.1091178698285098,1,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Infected: diet 50 vs 33,6.721641098605515,0.00588123416052071,Upregulated,Infected diet 50
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Infected: diet 83 vs 33,5.103731788342068,0.11037509132111405,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Infected: diet 83 vs 50,-1.6179093102634474,0.8410735678958844,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Diet 33: infected vs control,-6.51260158188561,0.02028960430917665,Downregulated,Control diet 33
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Diet 50: infected vs control,-2.594223605886115,0.8147311843699152,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Diet 83: infected vs control,-0.20397613162099448,1,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,6.226033160338361,0.00927062141414004,Upregulated,Infected diet 50
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.111517201477737,0.13067353334362408,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-2.1145159588606246,0.8410735678958844,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-5.799698510793388,0.03700302979992437,Downregulated,Control diet 33
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-1.874158557802791,0.8147311843699152,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,-0.5969292189938183,1,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,22.773471757843904,3.0015839951677784e-27,Upregulated,Infected diet 50
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,21.096284127356924,1.0243429967457571e-18,Upregulated,Infected diet 83
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.6771876304869815,0.8410735678958844,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-21.48039408391777,7.39214881992174e-22,Downregulated,Control diet 33
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-1.676154158759861,0.8147311843699152,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,0.6904960808178704,1,N.S.,Not significant
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Infected: diet 50 vs 33,22.931376105965644,1.5760312706272152e-23,Upregulated,Infected diet 50
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Infected: diet 83 vs 33,22.0201352174717,2.2963917262023534e-17,Upregulated,Infected diet 83
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Infected: diet 83 vs 50,-0.9112408884939408,0.8410735678958844,N.S.,Not significant
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Diet 33: infected vs control,-21.302112076680572,4.1680881855831286e-18,Downregulated,Control diet 33
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Diet 50: infected vs control,-0.9193392680187644,0.863500521667719,N.S.,Not significant
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Diet 83: infected vs control,1.8944725174303023,1,N.S.,Not significant
LOC126330815,"probable alanine aminotransferase, mitochondrial",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062667.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,7.861884132466122,0.00317975326556952,Upregulated,Infected diet 50
LOC126330815,"probable alanine aminotransferase, mitochondrial",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062667.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,6.334945326106635,0.09619464634536844,N.S.,Not significant
LOC126330815,"probable alanine aminotransferase, mitochondrial",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062667.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.5269388063594878,0.8410735678958844,N.S.,Not significant
LOC126330815,"probable alanine aminotransferase, mitochondrial",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062667.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-6.3021198022568266,0.03129217048996376,Downregulated,Control diet 33
LOC126330815,"probable alanine aminotransferase, mitochondrial",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062667.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-0.987019183073791,0.847544573499882,N.S.,Not significant
LOC126330815,"probable alanine aminotransferase, mitochondrial",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062667.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,0.4267283253341265,1,N.S.,Not significant
LOC126316687,proton-coupled amino acid transporter 4-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,6.037089501830353,0.00927062141414004,Upregulated,Infected diet 50
LOC126316687,proton-coupled amino acid transporter 4-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.936878020439187,0.11037509132111405,N.S.,Not significant
LOC126316687,proton-coupled amino acid transporter 4-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.100211481391165,0.8410735678958844,N.S.,Not significant
LOC126316687,proton-coupled amino acid transporter 4-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-3.8527386141219058,0.10201140967099664,N.S.,Not significant
LOC126316687,proton-coupled amino acid transporter 4-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-0.5505061276202874,0.9099537827149904,N.S.,Not significant
LOC126316687,proton-coupled amino acid transporter 4-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,0.444257296357219,1,N.S.,Not significant
LOC126316674,dipeptidyl aminopeptidase BI-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,5.805231396866642,0.00985164529897958,Upregulated,Infected diet 50
LOC126316674,dipeptidyl aminopeptidase BI-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.610690298120333,0.11202613920200168,N.S.,Not significant
LOC126316674,dipeptidyl aminopeptidase BI-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.1945410987463094,0.8410735678958844,N.S.,Not significant
LOC126316674,dipeptidyl aminopeptidase BI-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-4.9013753315952915,0.05021672504475961,N.S.,Not significant
LOC126316674,dipeptidyl aminopeptidase BI-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-1.5513260757138456,0.8147311843699152,N.S.,Not significant
LOC126316674,dipeptidyl aminopeptidase BI-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,NW_026061985.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,0.6902216630645385,1,N.S.,Not significant
LOC126304702,60S ribosomal protein L34-like,Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,NW_026061732.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,6.3904669337087325,0.00654329188697581,Upregulated,Infected diet 50
LOC126304702,60S ribosomal protein L34-like,Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,NW_026061732.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,3.752424488707408,0.13444205033514883,N.S.,Not significant
LOC126304702,60S ribosomal protein L34-like,Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,NW_026061732.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-2.6380424450013247,0.8410735678958844,N.S.,Not significant
LOC126304702,60S ribosomal protein L34-like,Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,NW_026061732.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-6.327116697520914,0.02031315610066397,Downregulated,Control diet 33
LOC126304702,60S ribosomal protein L34-like,Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,NW_026061732.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-2.222340319530354,0.8147311843699152,N.S.,Not significant
