	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126318536	protein flightless-1	3744	4	0.0	99.62	1	F:GO:0051015	F:actin filament binding			IPR007122 (PRINTS); G3DSA:3.40.20.10:FF:000021 (FUNFAM); G3DSA:3.40.20.10:FF:000034 (FUNFAM); G3DSA:3.40.20.10:FF:000019 (FUNFAM); G3DSA:3.40.20.10:FF:000020 (FUNFAM); G3DSA:3.40.20.10:FF:000031 (FUNFAM); G3DSA:3.80.10.10:FF:000054 (FUNFAM); G3DSA:3.80.10.10:FF:000033 (FUNFAM); IPR001611 (PFAM); IPR007123 (PFAM); IPR029006 (G3DSA:3.40.20.GENE3D); IPR029006 (G3DSA:3.40.20.GENE3D); IPR029006 (G3DSA:3.40.20.GENE3D); IPR029006 (G3DSA:3.40.20.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR029006 (G3DSA:3.40.20.GENE3D); IPR029006 (G3DSA:3.40.20.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); cd11290 (CDD); cd11280 (CDD); cd11280 (CDD); cd11292 (CDD); cd11291 (CDD); cd11288 (CDD); SSF55753 (SUPERFAMILY); SSF55753 (SUPERFAMILY); SSF55753 (SUPERFAMILY); SSF52058 (SUPERFAMILY); SSF55753 (SUPERFAMILY); SSF52058 (SUPERFAMILY); SSF55753 (SUPERFAMILY); SSF55753 (SUPERFAMILY)	F:GO:0005515; F:GO:0051015	F:protein binding; F:actin filament binding
true	[INTERPRO, BLASTED]	LOC126318743	mitochondrial import receptor subunit TOM22 homolog isoform X4	1281	6	1.72E-44	99.18						cd22884 (CDD)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126319294	mitochondrial import receptor subunit TOM22 homolog isoform X1	420	5	5.07E-92	99.7	2	P:GO:0006886; C:GO:0005741	P:intracellular protein transport; C:mitochondrial outer membrane			IPR005683 (PFAM); cd22884 (CDD)	P:GO:0006886; C:GO:0005741	P:intracellular protein transport; C:mitochondrial outer membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126319460	calcium-binding protein E63-1 isoform X2	3117	17	2.58E-47	88.59	1	F:GO:0005509	F:calcium ion binding			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126320026	target of rapamycin complex subunit lst8	1032	6	7.03E-241	99.66	1	F:GO:0005515	F:protein binding			IPR020472 (PRINTS); G3DSA:2.130.10.10:FF:000086 (FUNFAM); IPR015943 (G3DSA:2.130.10.GENE3D); IPR001680 (PFAM); PS50294 (PROSITE_PROFILES); IPR001680 (PROSITE_PROFILES); PS50294 (PROSITE_PROFILES); IPR001680 (PROSITE_PROFILES); IPR001680 (PROSITE_PROFILES); IPR001680 (PROSITE_PROFILES); cd00200 (CDD); IPR011047 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126320178	cytochrome P450 315a1, mitochondrial	1434	5	0.0	97.68	4	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR001128 (PRINTS); IPR002401 (PRINTS); IPR036396 (G3DSA:1.10.630.GENE3D); IPR001128 (PFAM); PIRSR000209-1 (PIRSR); PIRSR000047-1 (PIRSR); PIRSR602399-1 (PIRSR); PIRSR602402-1 (PIRSR); PIRSR602403-1 (PIRSR); cd11054 (CDD); IPR036396 (SUPERFAMILY)	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126320326	XP_047113844.1 geminin-like	504	4	2.27E-113	99.11	1	P:GO:0006275	P:regulation of DNA replication			IPR022786 (PFAM); G3DSA:1.20.5.1180 (GENE3D); SSF111469 (SUPERFAMILY)	P:GO:0006275	P:regulation of DNA replication
true	[INTERPRO, BLASTED]	LOC126284887	uncharacterized protein LOC126284887	324	5	1.57E-73	98.7						IPR000618 (PFAM); IPR000618 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126320407	solute carrier family 35 member G1-like	3984	15	2.89E-143	82.96	1	C:GO:0016020	C:membrane			G3DSA:1.10.3730.20 (GENE3D); IPR000620 (PFAM); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126320757	protein spinster	1605	6	0.0	99.63	2	P:GO:0055085; F:GO:0022857	P:transmembrane transport; F:transmembrane transporter activity			IPR036259 (G3DSA:1.20.1250.GENE3D); IPR011701 (PFAM); IPR020846 (PROSITE_PROFILES); IPR044770 (CDD); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0022857	P:transmembrane transport; F:transmembrane transporter activity
true	[INTERPRO, NO-BLAST]	LOC126284843	---NA---	2466									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126284851	uncharacterized protein LOC126284851	4176	1	9.41E-27	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126320910	tight junction protein ZO-1 isoform X2	49128	20	2.8E-143	84.21						IPR027417 (G3DSA:3.40.50.GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126322280	differentially expressed in FDCP 6 homolog	1689	5	4.28E-309	99.82						IPR011993 (G3DSA:2.30.29.GENE3D); IPR001849 (PFAM); IPR001849 (PROSITE_PROFILES); cd13273 (CDD); SSF50729 (SUPERFAMILY)	no GO terms	no GO terms
