"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","scenario","comparison_type","comparison","numerator","denominator","diet","significant","direction","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","phase_shift","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","neglog10_padj","priority_score","phase_interpretation"
7.907241495998,5.37035647163066,1.66622435274586,3.22306924801607,0.00126824889472516,0.0211449995841366,"LOC126299138","Current outliers removed","Infection within diet","Diet 33: infected vs control","Infected","Control",33,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up + Solitarious-up",-0.31292442444199,1.84377195885365,-1.84377195885365,1.21792310996967,0.0213109688436357,0.00894963790422963,"Discordant phase direction","Shared head/thorax phase DEG","Mixed head/thorax phase signal",NA,"Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family",NA,"ko:K14388",NA,"SSF",1.67479231905845,28.8889207495428,"Mixed head/thorax phase signal"
4.67475928863986,3.16554412799604,1.17749896087425,2.68836256606609,0.00718033863325133,0.0339987681123886,"LOC126336760","Current outliers removed","Infection within diet","Diet 50: infected vs control","Infected","Control",50,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up + Solitarious-up",0.0346257160389449,1.1529131531805,-1.08366172110261,1.1529131531805,0.0185448744907512,1.17522123516364e-05,"Discordant phase direction","Shared head/thorax phase DEG","Mixed head/thorax phase signal",NA,"Kazal type serine protease inhibitors","GO:0003002,GO:0007275,GO:0007389,GO:0007444,GO:0007447,GO:0007450,GO:0008150,GO:0009888,GO:0009953,GO:0032501,GO:0032502,GO:0035220,GO:0035222,GO:0035295,GO:0048190,GO:0048513,GO:0048731,GO:0048856,GO:0060429",NA,NA,"Kazal_2",1.46853681859552,25.7869940997721,"Mixed head/thorax phase signal"
97.8646646192178,5.17716068348832,0.748625747197917,6.91555253458256,4.66043288406584e-12,8.34567018714091e-10,"LOC126284817","Current outliers removed","Infection within diet","Diet 50: infected vs control","Infected","Control",50,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up",2.17842330698672,2.64813135083079,2.64813135083079,1.70871526314266,8.07290029066724e-21,0.000558913441848258,"Gregarious-up","Shared head/thorax phase DEG","Numerator more gregarious-like",NA,"Belongs to the small heat shock protein (HSP20) family",NA,NA,NA,NA,9.07853878218542,36.9038308165045,"Infected expression is more gregarious-like than control"
103.350245420587,5.52082235934154,0.823785811716594,6.70176917448642,2.05911124399676e-11,3.09209062090209e-09,"LOC126299510","Current outliers removed","Infection within diet","Diet 50: infected vs control","Infected","Control",50,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up",1.52910129010426,1.90667013779666,1.15153244241187,1.90667013779666,0.0187359829127384,0.00259028624176625,"Gregarious-up","Shared head/thorax phase DEG","Numerator more gregarious-like",NA,"Trypsin-like serine protease",NA,"ko:K01312","ko04080,ko04972,ko04974,ko05164,map04080,map04972,map04974,map05164","Trypsin",8.50974778655804,35.9372402836962,"Infected expression is more gregarious-like than control"
5348.82653812421,3.60809742541773,0.657519133054488,5.48744096412283,4.07798238638177e-08,2.64349211164277e-06,"LOC126272290","Current outliers removed","Infection within diet","Diet 50: infected vs control","Infected","Control",50,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up",1.45828513072184,1.61923976116,1.29733050028369,1.61923976116,0.0320035907219217,2.57378217599457e-06,"Gregarious-up","Shared head/thorax phase DEG","Numerator more gregarious-like",NA,"Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process",NA,"ko:K01435","ko00780,ko01100,ko04977,map00780,map01100,map04977","CN_hydrolase",5.57782198122071,30.8051591677984,"Infected expression is more gregarious-like than control"
1785.36660934656,2.89960985447342,0.70316516558624,4.12365400958957,3.72908919816323e-05,0.000996696489792658,"LOC126340122","Current outliers removed","Infection within diet","Diet 50: infected vs control","Infected","Control",50,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up",3.7198707177608,4.090985780828,3.3487556546936,4.090985780828,1.64112638269803e-38,2.06058536194722e-76,"Gregarious-up","Shared head/thorax phase DEG","Numerator more gregarious-like",NA,NA,NA,NA,NA,NA,3.00143707125282,29.9920327065542,"Infected expression is more gregarious-like than control"
81.7647087798688,-2.25378602199792,0.456908904903714,-4.93268132402205,8.11084258443705e-07,8.79350516862717e-05,"LOC126353822","Current outliers removed","Infection within diet","Diet 33: infected vs control","Infected","Control",33,TRUE,"Downregulated",2,"Head + Thorax","Gregarious-up",2.13460752605223,3.02476764078436,1.2444474113201,3.02476764078436,0.0335803135857789,2.99540583627317e-17,"Gregarious-up","Shared head/thorax phase DEG","Numerator more solitarious-like",NA,NA,"GO:0000003,GO:0005575,GO:0005576,GO:0005615,GO:0008150,GO:0032501,GO:0032504,GO:0044421",NA,NA,NA,4.05583797680832,29.3343916395906,"Infected expression is more solitarious-like than control"
4139.55636544587,2.28982146357698,0.443872262607971,5.15873970165006,2.4861766808723e-07,5.7296427787383e-05,"LOC126336415","Current outliers removed","Infection within diet","Diet 83: infected vs control","Infected","Control",83,TRUE,"Upregulated",2,"Head + Thorax","Gregarious-up",1.66173982426754,2.00674689761559,1.3167327509195,2.00674689761559,0.0144700836965658,2.79137266264923e-05,"Gregarious-up","Shared head/thorax phase DEG","Numerator more gregarious-like",NA,"Hemocyanin, all-alpha domain",NA,NA,NA,NA,4.24187245378459,28.5384408149772,"Infected expression is more gregarious-like than control"
105.404880281986,-3.15269945056812,0.940909328009427,-3.35069422389288,0.000806092585662712,0.0153223020868907,"LOC126291424","Current outliers removed","Infection within diet","Diet 33: infected vs control","Infected","Control",33,TRUE,"Downregulated",2,"Head + Thorax","Gregarious-up",2.42391694554656,2.91599555149871,2.91599555149871,1.93183833959442,2.41238605897447e-22,7.99584787511589e-08,"Gregarious-up","Shared head/thorax phase DEG","Numerator more solitarious-like",NA,NA,NA,NA,NA,NA,1.81467597957783,27.8833709816447,"Infected expression is more solitarious-like than control"
1180.9113322991,-2.86818527105115,0.689086310337845,-4.16230191780321,3.15055406388147e-05,0.0019208378030744,"LOC126293692","Current outliers removed","Infection within diet","Diet 83: infected vs control","Infected","Control",83,TRUE,"Downregulated",2,"Head + Thorax","Gregarious-up",2.02601295762931,2.10874286340433,1.94328305185428,2.10874286340433,4.65324263699517e-16,7.8212369902237e-14,"Gregarious-up","Shared head/thorax phase DEG","Numerator more solitarious-like",NA,"synaptic vesicle","GO:0005575,GO:0016020,GO:0016021,GO:0031224,GO:0044425","ko:K06258","ko04512,map04512","MFS_1",2.71650930572849,27.693437440184,"Infected expression is more solitarious-like than control"
