"gene_id","n_sets","set_members"
"LOC126282167",10,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; DESeq2_infected_vs_control_diet_33; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83; DESeq2_Control_diet_50_vs_83; DESeq2_50_vs_83"
"LOC126293368",10,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; DESeq2_infected_vs_control_diet_33; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83; DESeq2_Control_diet_50_vs_83; DESeq2_50_vs_83"
"LOC126295405",10,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83; DESeq2_Control_diet_50_vs_83; DESeq2_50_vs_83; DESeq2_Infected_diet_33_vs_83"
"LOC126268018",9,"all_deseq2_results; DESeq2_Infected_diet_33_vs_50; all_model_coefficients; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83; DESeq2_Control_diet_50_vs_83; DESeq2_50_vs_83; DESeq2_Infected_diet_33_vs_83"
"LOC126272465",9,"all_deseq2_results; DESeq2_Infected_diet_33_vs_50; all_model_coefficients; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83; DESeq2_33_vs_50; DESeq2_Infected_diet_33_vs_83; DESeq2_Control_diet_33_vs_50"
"LOC126277896",9,"all_deseq2_results; DESeq2_Infected_diet_33_vs_50; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; DESeq2_infected_vs_control_diet_83; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Infected_diet_33_vs_83"
"LOC126324953",9,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; DESeq2_infected_vs_control_diet_33; DESeq2_infected_vs_control_diet_83; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83"
"LOC126325353",9,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_33; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83; DESeq2_Control_diet_50_vs_83; DESeq2_50_vs_83; DESeq2_Infected_diet_33_vs_83"
"LOC126335309",9,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; DESeq2_infected_vs_control_diet_33; DESeq2_infected_vs_control_diet_83; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Infected_diet_33_vs_83"
"LOC126336538",9,"all_deseq2_results; all_infection_within_diet_results; DESeq2_infected_vs_control_diet_50; all_model_coefficients; DESeq2_infected_vs_control_diet_33; DESeq2_infected_vs_control_diet_83; all_diet_pairwise_results; DESeq2_33_vs_83; DESeq2_Control_diet_33_vs_83"
