Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC126318536	protein flightless-1	F GO:0051015 actin filament binding
LOC126319294	mitochondrial import receptor subunit TOM22 homolog isoform X1	C GO:0005741 mitochondrial outer membrane
LOC126319294	mitochondrial import receptor subunit TOM22 homolog isoform X1	P GO:0006886 intracellular protein transport
LOC126319460	calcium-binding protein E63-1 isoform X2	F GO:0005509 calcium ion binding
LOC126320026	target of rapamycin complex subunit lst8	F GO:0005515 protein binding
LOC126320178	cytochrome P450 315a1, mitochondrial	F GO:0004497 monooxygenase activity
LOC126320178	cytochrome P450 315a1, mitochondrial	F GO:0005506 iron ion binding
LOC126320178	cytochrome P450 315a1, mitochondrial	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC126320178	cytochrome P450 315a1, mitochondrial	F GO:0020037 heme binding
LOC126320326	XP_047113844.1 geminin-like	P GO:0006275 regulation of DNA replication
LOC126320407	solute carrier family 35 member G1-like	C GO:0016020 membrane
LOC126320757	protein spinster	F GO:0022857 transmembrane transporter activity
LOC126320757	protein spinster	P GO:0055085 transmembrane transport
LOC126322412	methionine synthase reductase-like	F GO:0016491 oxidoreductase activity
LOC126322939	5-hydroxytryptamine receptor 1A-like	C GO:0016020 membrane
LOC126322939	5-hydroxytryptamine receptor 1A-like	F GO:0004930 G protein-coupled receptor activity
LOC126322939	5-hydroxytryptamine receptor 1A-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126323250	ubiquitin-protein ligase E3B	F GO:0004842 ubiquitin-protein transferase activity
LOC126323250	ubiquitin-protein ligase E3B	F GO:0005515 protein binding
LOC126323807	unnamed protein product	C GO:0005840 ribosome
LOC126323807	unnamed protein product	F GO:0003735 structural constituent of ribosome
LOC126323807	unnamed protein product	P GO:0006412 translation
LOC126323387	NAD-dependent protein deacetylase sirtuin-1 isoform X2	F GO:0070403 NAD+ binding
LOC126324319	carboxypeptidase E-like isoform X3	F GO:0004181 metallocarboxypeptidase activity
LOC126324319	carboxypeptidase E-like isoform X3	F GO:0008270 zinc ion binding
LOC126324319	carboxypeptidase E-like isoform X3	P GO:0006508 proteolysis
LOC126284867	phosphatidylinositol-binding clathrin assembly protein LAP-like	P GO:0048268 clathrin coat assembly
LOC126284867	phosphatidylinositol-binding clathrin assembly protein LAP-like	F GO:0030276 clathrin binding
LOC126284867	phosphatidylinositol-binding clathrin assembly protein LAP-like	C GO:0030136 clathrin-coated vesicle
LOC126284867	phosphatidylinositol-binding clathrin assembly protein LAP-like	F GO:0005545 1-phosphatidylinositol binding
LOC126325647	dynein axonemal light chain 1 isoform X1	F GO:0005515 protein binding
LOC126326003	zinc finger protein ZPR1	F GO:0008270 zinc ion binding
LOC126326117	serine/threonine-protein kinase NLK	F GO:0004672 protein kinase activity
LOC126326117	serine/threonine-protein kinase NLK	F GO:0005524 ATP binding
LOC126326117	serine/threonine-protein kinase NLK	P GO:0006468 protein phosphorylation
LOC126326285	cilia- and flagella-associated protein 58-like	F GO:0005488 binding
LOC126326589	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0004672 protein kinase activity
LOC126326589	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005515 protein binding
LOC126326589	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005524 ATP binding
LOC126326589	ovarian-specific serine/threonine-protein kinase Lok-like	P GO:0006468 protein phosphorylation
LOC126326728	AH receptor-interacting protein isoform X1	F GO:0003755 peptidyl-prolyl cis-trans isomerase activity
LOC126326728	AH receptor-interacting protein isoform X1	F GO:0005515 protein binding
