"DEG_context","gene_id","seqid","start","end","midpoint","strand","seq_start","seq_end","chromosome","region_name","genome","chromosome_class","position_mb"
"Infection within diets","LOC126266596","NC_064923.1",122045496,122750702,122398099,"+",1,791150472,"4","4","chromosome","Named chromosome",122.398099
"Infection within diets","LOC126266610","NC_064923.1",451573920,451665728,451619824,"-",1,791150472,"4","4","chromosome","Named chromosome",451.619824
"Infection within diets","LOC126266629","NC_064923.1",201174690,201290501,201232595.5,"+",1,791150472,"4","4","chromosome","Named chromosome",201.2325955
"Infection within diets","LOC126266641","NC_064923.1",774038399,774194994,774116696.5,"-",1,791150472,"4","4","chromosome","Named chromosome",774.1166965
"Infection within diets","LOC126266656","NC_064923.1",89084346,90111455,89597900.5,"+",1,791150472,"4","4","chromosome","Named chromosome",89.5979005
"Infection within diets","LOC126266657","NC_064923.1",420648571,420729449,420689010,"+",1,791150472,"4","4","chromosome","Named chromosome",420.68901
"Infection within diets","LOC126266672","NC_064923.1",681289472,681295715,681292593.5,"-",1,791150472,"4","4","chromosome","Named chromosome",681.2925935
"Infection within diets","LOC126266675","NC_064923.1",683189519,683191060,683190289.5,"-",1,791150472,"4","4","chromosome","Named chromosome",683.1902895
"Infection within diets","LOC126266685","NC_064923.1",707155279,707577194,707366236.5,"+",1,791150472,"4","4","chromosome","Named chromosome",707.3662365
"Infection within diets","LOC126266696","NC_064923.1",767786884,767853793,767820338.5,"+",1,791150472,"4","4","chromosome","Named chromosome",767.8203385
"Infection within diets","LOC126266725","NC_064923.1",575411513,575583646,575497579.5,"+",1,791150472,"4","4","chromosome","Named chromosome",575.4975795
"Infection within diets","LOC126266728","NC_064923.1",247623329,247696397,247659863,"+",1,791150472,"4","4","chromosome","Named chromosome",247.659863
"Infection within diets","LOC126266748","NC_064923.1",120332954,120691085,120512019.5,"+",1,791150472,"4","4","chromosome","Named chromosome",120.5120195
"Infection within diets","LOC126266750","NC_064923.1",129645035,129655633,129650334,"-",1,791150472,"4","4","chromosome","Named chromosome",129.650334
"Infection within diets","LOC126266751","NC_064923.1",129667258,129684149,129675703.5,"-",1,791150472,"4","4","chromosome","Named chromosome",129.6757035
"Infection within diets","LOC126266759","NC_064923.1",195483122,195664204,195573663,"-",1,791150472,"4","4","chromosome","Named chromosome",195.573663
"Infection within diets","LOC126266760","NC_064923.1",195760174,195841789,195800981.5,"-",1,791150472,"4","4","chromosome","Named chromosome",195.8009815
"Infection within diets","LOC126266789","NC_064923.1",657265462,657282564,657274013,"-",1,791150472,"4","4","chromosome","Named chromosome",657.274013
"Infection within diets","LOC126266822","NC_064923.1",767994402,768216099,768105250.5,"-",1,791150472,"4","4","chromosome","Named chromosome",768.1052505
"Infection within diets","LOC126266832","NC_064923.1",373009428,373530890,373270159,"+",1,791150472,"4","4","chromosome","Named chromosome",373.270159
"Infection within diets","LOC126266835","NC_064923.1",396909663,397242833,397076248,"+",1,791150472,"4","4","chromosome","Named chromosome",397.076248
"Infection within diets","LOC126266859","NC_064923.1",416708995,416824408,416766701.5,"+",1,791150472,"4","4","chromosome","Named chromosome",416.7667015
"Infection within diets","LOC126266862","NC_064923.1",417394066,417619060,417506563,"-",1,791150472,"4","4","chromosome","Named chromosome",417.506563
"Infection within diets","LOC126266899","NC_064923.1",214732592,214978912,214855752,"+",1,791150472,"4","4","chromosome","Named chromosome",214.855752
"Infection within diets","LOC126266913","NC_064923.1",731418688,731640079,731529383.5,"+",1,791150472,"4","4","chromosome","Named chromosome",731.5293835
"Infection within diets","LOC126266938","NC_064923.1",508056807,508068810,508062808.5,"-",1,791150472,"4","4","chromosome","Named chromosome",508.0628085
"Infection within diets","LOC126266948","NC_064923.1",246662986,246864695,246763840.5,"-",1,791150472,"4","4","chromosome","Named chromosome",246.7638405
"Infection within diets","LOC126266958","NC_064923.1",316022220,316466811,316244515.5,"+",1,791150472,"4","4","chromosome","Named chromosome",316.2445155
"Infection within diets","LOC126266982","NC_064923.1",573919543,574000827,573960185,"-",1,791150472,"4","4","chromosome","Named chromosome",573.960185
"Infection within diets","LOC126267002","NC_064923.1",309678502,309706223,309692362.5,"-",1,791150472,"4","4","chromosome","Named chromosome",309.6923625
"Infection within diets","LOC126267038","NC_064923.1",599016633,599170381,599093507,"+",1,791150472,"4","4","chromosome","Named chromosome",599.093507
"Infection within diets","LOC126267061","NC_064923.1",197724673,197748623,197736648,"+",1,791150472,"4","4","chromosome","Named chromosome",197.736648
"Infection within diets","LOC126267080","NC_064923.1",575975696,576134665,576055180.5,"+",1,791150472,"4","4","chromosome","Named chromosome",576.0551805
"Infection within diets","LOC126267154","NC_064923.1",598554127,598659212,598606669.5,"-",1,791150472,"4","4","chromosome","Named chromosome",598.6066695
"Infection within diets","LOC126267162","NC_064923.1",572460825,573015072,572737948.5,"-",1,791150472,"4","4","chromosome","Named chromosome",572.7379485
"Infection within diets","LOC126267163","NC_064923.1",573085509,573279293,573182401,"-",1,791150472,"4","4","chromosome","Named chromosome",573.182401
"Infection within diets","LOC126267179","NC_064923.1",662970807,662975093,662972950,"-",1,791150472,"4","4","chromosome","Named chromosome",662.97295
"Infection within diets","LOC126267190","NC_064923.1",623959621,624432079,624195850,"+",1,791150472,"4","4","chromosome","Named chromosome",624.19585
"Infection within diets","LOC126267194","NC_064923.1",247756153,247972207,247864180,"-",1,791150472,"4","4","chromosome","Named chromosome",247.86418
"Infection within diets","LOC126267215","NC_064923.1",197830279,197938593,197884436,"-",1,791150472,"4","4","chromosome","Named chromosome",197.884436
"Infection within diets","LOC126267216","NC_064923.1",198017202,198117107,198067154.5,"+",1,791150472,"4","4","chromosome","Named chromosome",198.0671545
"Infection within diets","LOC126267217","NC_064923.1",198176924,198214960,198195942,"-",1,791150472,"4","4","chromosome","Named chromosome",198.195942
"Infection within diets","LOC126267222","NC_064923.1",150336221,150653127,150494674,"+",1,791150472,"4","4","chromosome","Named chromosome",150.494674
"Infection within diets","LOC126267226","NC_064923.1",678386335,678594825,678490580,"+",1,791150472,"4","4","chromosome","Named chromosome",678.49058
"Infection within diets","LOC126267253","NC_064923.1",635496555,635501025,635498790,"-",1,791150472,"4","4","chromosome","Named chromosome",635.49879
"Infection within diets","LOC126267259","NC_064923.1",227064867,227121303,227093085,"-",1,791150472,"4","4","chromosome","Named chromosome",227.093085
"Infection within diets","LOC126267263","NC_064923.1",263044822,263115051,263079936.5,"+",1,791150472,"4","4","chromosome","Named chromosome",263.0799365
"Infection within diets","LOC126267295","NC_064923.1",302566142,303118537,302842339.5,"-",1,791150472,"4","4","chromosome","Named chromosome",302.8423395
"Infection within diets","LOC126267333","NC_064923.1",262381056,262383452,262382254,"+",1,791150472,"4","4","chromosome","Named chromosome",262.382254
"Infection within diets","LOC126267343","NC_064923.1",195057786,195218116,195137951,"+",1,791150472,"4","4","chromosome","Named chromosome",195.137951
"Infection within diets","LOC126267351","NC_064923.1",429117626,429309369,429213497.5,"-",1,791150472,"4","4","chromosome","Named chromosome",429.2134975
"Infection within diets","LOC126267391","NC_064923.1",651733289,652844442,652288865.5,"-",1,791150472,"4","4","chromosome","Named chromosome",652.2888655
"Infection within diets","LOC126267422","NC_064920.1",740397856,740461690,740429773,"+",1,1209568729,"1","1","chromosome","Named chromosome",740.429773
"Infection within diets","LOC126267442","NC_064923.1",773172066,773411212,773291639,"-",1,791150472,"4","4","chromosome","Named chromosome",773.291639
"Infection within diets","LOC126267449","NC_064923.1",745668691,745720002,745694346.5,"-",1,791150472,"4","4","chromosome","Named chromosome",745.6943465
"Infection within diets","LOC126267462","NC_064923.1",567643709,567723609,567683659,"+",1,791150472,"4","4","chromosome","Named chromosome",567.683659
"Infection within diets","LOC126267464","NC_064923.1",574213440,574367382,574290411,"-",1,791150472,"4","4","chromosome","Named chromosome",574.290411
"Infection within diets","LOC126267471","NC_064923.1",540292764,540523467,540408115.5,"-",1,791150472,"4","4","chromosome","Named chromosome",540.4081155
"Infection within diets","LOC126267472","NC_064923.1",508122297,508134473,508128385,"-",1,791150472,"4","4","chromosome","Named chromosome",508.128385
"Infection within diets","LOC126267473","NC_064923.1",562886782,563054795,562970788.5,"-",1,791150472,"4","4","chromosome","Named chromosome",562.9707885
"Infection within diets","LOC126267545","NC_064923.1",773847442,773887933,773867687.5,"-",1,791150472,"4","4","chromosome","Named chromosome",773.8676875
"Infection within diets","LOC126267568","NC_064923.1",224297725,224326305,224312015,"+",1,791150472,"4","4","chromosome","Named chromosome",224.312015
"Infection within diets","LOC126267581","NC_064923.1",5210080,5226093,5218086.5,"+",1,791150472,"4","4","chromosome","Named chromosome",5.2180865
"Infection within diets","LOC126267583","NC_064923.1",5103183,5246163,5174673,"-",1,791150472,"4","4","chromosome","Named chromosome",5.174673
"Infection within diets","LOC126267629","NC_064923.1",129119755,129127001,129123378,"+",1,791150472,"4","4","chromosome","Named chromosome",129.123378
"Infection within diets","LOC126267652","NC_064923.1",198252081,198285674,198268877.5,"-",1,791150472,"4","4","chromosome","Named chromosome",198.2688775
"Infection within diets","LOC126267743","NC_064923.1",395912849,396193038,396052943.5,"-",1,791150472,"4","4","chromosome","Named chromosome",396.0529435
"Infection within diets","LOC126267912","NC_064920.1",757913239,758112433,758012836,"-",1,1209568729,"1","1","chromosome","Named chromosome",758.012836
"Infection within diets","LOC126267970","NC_064923.1",33594801,33657850,33626325.5,"-",1,791150472,"4","4","chromosome","Named chromosome",33.6263255
"Infection within diets","LOC126267973","NC_064923.1",268201751,268974311,268588031,"+",1,791150472,"4","4","chromosome","Named chromosome",268.588031
"Infection within diets","LOC126267980","NC_064923.1",203081934,203219947,203150940.5,"-",1,791150472,"4","4","chromosome","Named chromosome",203.1509405
"Infection within diets","LOC126267982","NC_064923.1",203963531,204097853,204030692,"-",1,791150472,"4","4","chromosome","Named chromosome",204.030692
"Infection within diets","LOC126267984","NC_064923.1",204159362,204258151,204208756.5,"-",1,791150472,"4","4","chromosome","Named chromosome",204.2087565
"Infection within diets","LOC126268014","NC_064923.1",330631486,330666882,330649184,"+",1,791150472,"4","4","chromosome","Named chromosome",330.649184
"Infection within diets","LOC126268015","NC_064923.1",330700660,330710321,330705490.5,"+",1,791150472,"4","4","chromosome","Named chromosome",330.7054905
"Infection within diets","LOC126268068","NC_064923.1",197598003,197680879,197639441,"+",1,791150472,"4","4","chromosome","Named chromosome",197.639441
"Infection within diets","LOC126268069","NC_064923.1",287189042,287371015,287280028.5,"-",1,791150472,"4","4","chromosome","Named chromosome",287.2800285
"Infection within diets","LOC126268085","NC_064923.1",648991732,649108575,649050153.5,"+",1,791150472,"4","4","chromosome","Named chromosome",649.0501535
"Infection within diets","LOC126268128","NC_064923.1",701110242,701130683,701120462.5,"-",1,791150472,"4","4","chromosome","Named chromosome",701.1204625
"Infection within diets","LOC126268132","NC_064923.1",700892347,700941349,700916848,"-",1,791150472,"4","4","chromosome","Named chromosome",700.916848
"Infection within diets","LOC126268133","NC_064923.1",78285426,78540521,78412973.5,"-",1,791150472,"4","4","chromosome","Named chromosome",78.4129735
"Infection within diets","LOC126268164","NC_064923.1",407574234,408027168,407800701,"+",1,791150472,"4","4","chromosome","Named chromosome",407.800701
"Infection within diets","LOC126268172","NC_064923.1",180316302,180398692,180357497,"-",1,791150472,"4","4","chromosome","Named chromosome",180.357497
"Infection within diets","LOC126268173","NC_064923.1",180862890,181109679,180986284.5,"-",1,791150472,"4","4","chromosome","Named chromosome",180.9862845
"Infection within diets","LOC126268175","NC_064923.1",179005023,181434657,180219840,"+",1,791150472,"4","4","chromosome","Named chromosome",180.21984
"Infection within diets","LOC126268182","NC_064923.1",667354850,667712501,667533675.5,"-",1,791150472,"4","4","chromosome","Named chromosome",667.5336755
"Infection within diets","LOC126268198","NC_064923.1",101986884,102288667,102137775.5,"-",1,791150472,"4","4","chromosome","Named chromosome",102.1377755
"Infection within diets","LOC126268199","NC_064923.1",101826464,101848937,101837700.5,"-",1,791150472,"4","4","chromosome","Named chromosome",101.8377005
"Infection within diets","LOC126268205","NC_064923.1",467137182,467772449,467454815.5,"-",1,791150472,"4","4","chromosome","Named chromosome",467.4548155
"Infection within diets","LOC126268218","NC_064923.1",202444930,202446927,202445928.5,"-",1,791150472,"4","4","chromosome","Named chromosome",202.4459285
"Infection within diets","LOC126268397","NC_064920.1",771685982,771833379,771759680.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",771.7596805
"Infection within diets","LOC126268728","NC_064920.1",781073715,781176889,781125302,"+",1,1209568729,"1","1","chromosome","Named chromosome",781.125302
