"gene_id","candidate_theme","Preferred_name","Description","PFAMs","DEG_sets","log2FC_by_diet","min_padj","max_abs_log2FC","KEGG_Pathway"
"LOC126281410","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50; Diet 83; Diet 33","Diet 50=4.73; Diet 83=4.28; Diet 33=2.48",3.39e-09,4.73,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126272144","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 33","Diet 33=2.8",1.2e-06,2.8,"-"
"LOC126293326","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with response to oxidative stress","An_peroxidase","Diet 50; Diet 83","Diet 50=2.83; Diet 83=2.28",2.38e-06,2.83,"-"
"LOC126299150","Detoxification / oxidative stress","Cyp314a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 33","Diet 50=-2.52; Diet 33=-1.83",2.42e-05,2.52,"ko00981,map00981"
"LOC126272724","Detoxification / oxidative stress","GstO2","Glutathione transferase activity. It is involved in the biological process described with metabolic process","GST_C_2,GST_N_3","Diet 50; Diet 33; Diet 83","Diet 50=2.32; Diet 33=1.79; Diet 83=1.59",3.3e-05,2.32,"ko00480,ko00790,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00790,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126336695","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33; Diet 83","Diet 50=-1.63; Diet 33=-1.55; Diet 83=-1.57",4.88e-05,1.63,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126266714","Detoxification / oxidative stress","-","Insect allergen related repeat, nitrile-specifier detoxification","Ins_allergen_rp","Diet 50","Diet 50=-3.16",0.000223,3.16,"-"
"LOC126278867","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50","Diet 50=1.37",0.000235,1.37,"-"
"LOC126320178","Detoxification / oxidative stress","CYP315A1","heme binding. It is involved in the biological process described with oxidation-reduction process","60KD_IMP,p450","Diet 50","Diet 50=-2.06",0.000318,2.06,"ko00981,map00981"
"LOC126354485","Detoxification / oxidative stress","-","Cytochrome P-450","p450","Diet 50","Diet 50=2.63",0.000486,2.63,"-"
"LOC126268099","Detoxification / oxidative stress","-","cytochrome P450","-","Diet 83","Diet 83=2.41",0.000503,2.41,"-"
"LOC126336730","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33","Diet 50=1.84; Diet 33=1.61",0.000756,1.84,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126354172","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 33","Diet 33=-2.61",0.00193,2.61,"-"
"LOC126336735","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 33; Diet 50","Diet 33=-3.09; Diet 50=-2.56",0.00249,3.09,"-"
"LOC126272273","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50","Diet 50=-3.24",0.0029,3.24,"-"
