"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","label"
"LOC126272465",5,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 33 vs 50; Control 83 vs 33; Diet 50: infected vs control; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.28363200859142,6.58408969246059e-18,78.4651362701242,"unannotated","It is involved in the biological process described with transmembrane transport","GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0051179,GO:0051234,GO:0055085","ko:K08193",NA,"MFS_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126272465 | unannotated | It is involved in the biological process ..."
"LOC126299510",5,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.52082235934154,3.09209062090209e-09,69.0305701458996,"unannotated","Trypsin-like serine protease",NA,"ko:K01312","ko04080,ko04972,ko04974,ko05164,map04080,map04972,map04974,map05164","Trypsin",2,"Head + Thorax","Gregarious-up",1.52910129010426,1.90667013779666,1.15153244241187,1.90667013779666,0.0187359829127384,0.00259028624176625,"Gregarious-up","Shared head/thorax phase DEG","LOC126299510 | unannotated | Trypsin-like serine protease"
"LOC126272706",5,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",7.31728837633052,4.9459755991127e-07,68.6230364068845,"unannotated","Transcription activator MBF2",NA,NA,NA,"MBF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126272706 | unannotated | Transcription activator MBF2"
"LOC126344004",5,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.54573156017558,2.45180252428582e-06,63.1562460723336,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.72220981618392,1.9077126328617,-1.53670699950614,-1.9077126328617,5.25465297817638e-06,1.45147608126594e-09,"Solitarious-up","Shared head/thorax phase DEG","LOC126344004 | unannotated | no description"
"LOC126337066",5,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.01793960536298,2.58652678557486e-06,63.6052226251243,"unannotated","Major Facilitator Superfamily",NA,NA,NA,"MFS_1",1,"Head","Solitarious-up",-1.12344455475575,1.12344455475575,-1.12344455475575,NA,0.00212214076931766,NA,"Solitarious-up","Head phase DEG only","LOC126337066 | unannotated | Major Facilitator Superfamily"
"LOC126336866",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",2.95723989925487,1.57151046517534e-11,58.7609226217901,"Men","Malic enzyme, NAD binding domain","GO:0003674,GO:0003824,GO:0004470,GO:0004473,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006082,GO:0006090,GO:0006108,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009987,GO:0010259,GO:0010941,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0019752,GO:0030431,GO:0032501,GO:0032502,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0048856,GO:0050789,GO:0050794,GO:0055114,GO:0065007,GO:0071704","ko:K00029","ko00620,ko00710,ko01100,ko01120,ko01200,map00620,map00710,map01100,map01120,map01200","Malic_M,malic",2,"Head + Thorax","Solitarious-up",-1.74176151639898,2.02140548077703,-1.46211755202092,-2.02140548077703,0.000417311168114864,0.000569118966179347,"Solitarious-up","Shared head/thorax phase DEG","LOC126336866 | Men | Malic enzyme, NAD binding domain"
"LOC126334774",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.53100273467898,3.68589304823022e-10,57.9644600053253,"unannotated","ABC transporter transmembrane region",NA,NA,NA,"ABC_membrane,ABC_tran",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126334774 | unannotated | ABC transporter transmembrane region"
"LOC126267545",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",7.77341935245232,1.46045103021936e-09,61.6089323530476,"unannotated","Trypsin-like serine protease","GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564","ko:K20671","ko04624,map04624","Trypsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126267545 | unannotated | Trypsin-like serine protease"
"LOC126273306",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.86917518694301,4.19992365182194e-07,53.2459337912817,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126273306 | unannotated | no description"
"LOC126323918",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",11.3392692999604,6.83160993818916e-07,62.5047462383169,"unannotated","It is involved in the biological process described with carbohydrate metabolic process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126323918 | unannotated | It is involved in the biological process ..."
