"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means","phase_associated","phase_class","phase_consensus","phase_tissues","phase_mean_log2FC","phase_max_abs_log2FC","diet_infection_associated","infection_associated","diet_associated","n_deg_contrasts","deg_comparison_types","deg_comparisons","deg_directions","max_abs_log2FC","min_padj","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","tissue_associated","source_class","priority_score"
"LOC126327025",3,8.64093464984473,"Fat body","Head","Fat body=13.94; Head=5.3; Thorax=11.64",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",8.64093464984473
"LOC126327073",3,8.47838405094554,"Fat body","Head","Fat body=13.74; Head=5.26; Thorax=11.48",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",8.47838405094554
"LOC126327041",3,7.40777962376273,"Fat body","Head","Fat body=12.73; Head=5.32; Thorax=10.6",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",7.40777962376273
"LOC126327057",3,6.97835938214711,"Fat body","Head","Fat body=12.18; Head=5.2; Thorax=9.79",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",6.97835938214711
"LOC126284316",3,6.76321125680455,"Thorax","Fat body","Fat body=5.32; Head=6.9; Thorax=12.08",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",6.76321125680455
"LOC126266849",3,6.06917107410227,"Head","Fat body","Fat body=8.88; Head=14.94; Thorax=14.16",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Actin",NA,"ko:K05692","ko04015,ko04145,ko04210,ko04390,ko04391,ko04510,ko04520,ko04530,ko04611,ko04670,ko04714,ko04745,ko04810,ko04919,ko04921,ko05100,ko05110,ko05130,ko05131,ko05132,ko05164,ko05205,ko05225,ko05410,ko05412,ko05414,ko05416,ko05418,map04015,map04145,map04210,map04390,map04391,map04510,map04520,map04530,map04611,map04670,map04714,map04745,map04810,map04919,map04921,map05100,map05110,map05130,map05131,map05132,map05164,map05205,map05225,map05410,map05412,map05414,map05416,map05418","Actin",TRUE,"Tissue reference pattern only",6.06917107410227
"LOC126356109",3,6.00279097661436,"Head","Fat body","Fat body=7.2; Head=13.21; Thorax=12.62",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Mlc2","EF-hand domain","GO:0003008,GO:0003012,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0006996,GO:0007010,GO:0008150,GO:0009653,GO:0009987,GO:0010927,GO:0015629,GO:0016043,GO:0016459,GO:0022607,GO:0030016,GO:0030029,GO:0030036,GO:0030154,GO:0030239,GO:0031032,GO:0032501,GO:0032502,GO:0032989,GO:0032991,GO:0040011,GO:0042692,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0051146,GO:0055001,GO:0055002,GO:0060361,GO:0061061,GO:0070925,GO:0071840,GO:0097435,GO:0099080,GO:0099081,GO:0099512",NA,NA,"EF-hand_6,EF-hand_8",TRUE,"Tissue reference pattern only",6.00279097661436
"LOC126297643",3,5.93156333959378,"Head","Fat body","Fat body=9; Head=14.93; Thorax=14.31",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Mhc","Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family","GO:0000003,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003008,GO:0003012,GO:0003674,GO:0003824,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005700,GO:0005703,GO:0005737,GO:0005856,GO:0006928,GO:0006936,GO:0006996,GO:0007010,GO:0007015,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007517,GO:0007525,GO:0007527,GO:0008150,GO:0008307,GO:0009653,GO:0009888,GO:0009987,GO:0010631,GO:0010927,GO:0014866,GO:0015629,GO:0016043,GO:0016459,GO:0016462,GO:0016477,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019953,GO:0022412,GO:0022414,GO:0022607,GO:0030016,GO:0030017,GO:0030029,GO:0030036,GO:0030154,GO:0030239,GO:0030241,GO:0030707,GO:0030855,GO:0030898,GO:0031032,GO:0031033,GO:0031034,GO:0031647,GO:0031672,GO:0032501,GO:0032502,GO:0032504,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0034622,GO:0040011,GO:0042623,GO:0042692,GO:0042802,GO:0042803,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043254,GO:0043292,GO:0043519,GO:0043520,GO:0043933,GO:0044085,GO:0044087,GO:0044422,GO:0044424,GO:0044427,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044703,GO:0045214,GO:0046983,GO:0048468,GO:0048477,GO:0048513,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0050821,GO:0051128,GO:0051146,GO:0051179,GO:0051493,GO:0051674,GO:0051704,GO:0055001,GO:0055002,GO:0060361,GO:0060429,GO:0061061,GO:0065003,GO:0065007,GO:0065008,GO:0070925,GO:0071688,GO:0071689,GO:0071840,GO:0090130,GO:0090132,GO:0097435,GO:0098687,GO:0099080,GO:0099081,GO:0099512","ko:K10352,ko:K17751","ko04260,ko04261,ko04530,ko05416,map04260,map04261,map04530,map05416","IQ,Myosin_N,Myosin_head,Myosin_tail_1",TRUE,"Tissue reference pattern only",5.93156333959378
"LOC126282089",3,5.55846806254142,"Head","Fat body","Fat body=7.21; Head=12.77; Thorax=11.09",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Mp20","Calponin family repeat","GO:0000768,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0006949,GO:0007520,GO:0008092,GO:0008150,GO:0009653,GO:0009987,GO:0010830,GO:0014902,GO:0022603,GO:0030154,GO:0032502,GO:0042692,GO:0045595,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051146,GO:0051147,GO:0051153,GO:0060142,GO:0061061,GO:0065007,GO:1901739","ko:K20526",NA,"CH,Calponin",TRUE,"Tissue reference pattern only",5.55846806254142
"LOC126281202",3,5.50037951092989,"Head","Fat body","Fat body=7.43; Head=12.93; Thorax=11.99",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Tm2","Tropomyosin like","GO:0003008,GO:0003012,GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005862,GO:0005865,GO:0005884,GO:0006936,GO:0006996,GO:0007010,GO:0007015,GO:0007275,GO:0007507,GO:0008092,GO:0008150,GO:0008307,GO:0009987,GO:0010638,GO:0010720,GO:0015629,GO:0016043,GO:0022603,GO:0030016,GO:0030017,GO:0030029,GO:0030036,GO:0032501,GO:0032502,GO:0032956,GO:0032970,GO:0033043,GO:0036379,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044877,GO:0045595,GO:0045597,GO:0048513,GO:0048518,GO:0048522,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0051015,GO:0051094,GO:0051128,GO:0051130,GO:0051147,GO:0051149,GO:0051153,GO:0051155,GO:0051493,GO:0051495,GO:0060284,GO:0060297,GO:0060298,GO:0065007,GO:0071840,GO:0072359,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0110020,GO:1902115,GO:1902117,GO:1902903,GO:1902905","ko:K10373,ko:K10374","ko04260,ko04261,ko05206,ko05410,ko05414,map04260,map04261,map05206,map05410,map05414","Tropomyosin",TRUE,"Tissue reference pattern only",5.50037951092989
